,fecha,hora,tempAmbiente-c,tempMaxima-c,tempMinima-c,humRelativa-%,puntoRocio-c,velViento-mps,dirViento-cuad,relViento,velVientoMaxima-mps,dirVientoPredominante-cuad,sensTermina-c,indiceCalor,indiceTHW,indiceTHSW,presionATM,precipitacion-mm,intPrecipitacion-mmh,radiacionSolar,energiaSolar,radiacionSolarMaxima,heatD-D,coolD-D,tempInterior-c,humRelativaInterior-%,puntoRocioInterior-c,indiceCalorInterior,evapotranspiracion-mm,windSamp,windTx,ISSRecept,arcInt,Estacion,fechaHora
0,6/6/21,14:00,1.9,2.1,0.2,19,-19.3,27.4,WNW,54.72,53.1,WNW,-3.7,1.1,-4.6,---,578.3,0.0,0.0,737,126.78,756,1.366,0.0,6.7,19,-15.4,5.6,0.84,2801,1,100.0,120,Estacion Vendaval,2021-06-06 14:00:00
1,6/6/21,16:00,1.6,2.4,1.3,21,-18.4,20.9,NW,41.84,53.1,NNW,-3.3,0.7,-4.2,---,576.9,0.0,0.0,663,114.05,747,1.394,0.0,9.3,17,-14.6,8.0,0.74,2806,1,100.0,120,Estacion Vendaval,2021-06-06 16:00:00
2,6/6/21,18:00,0.2,1.8,0.2,23,-18.6,37.0,WNW,74.03,72.4,NW,-6.9,-0.6,-7.7,---,576.4,0.0,0.0,273,46.96,536,1.514,0.0,4.4,17,-18.6,3.3,0.61,2802,1,100.0,120,Estacion Vendaval,2021-06-06 18:00:00
3,6/6/21,20:00,-3.1,0.2,-3.1,29,-18.6,37.0,WNW,74.03,70.8,WNW,-11.2,-3.6,-11.7,---,579.2,0.0,0.0,7,1.2,44,1.782,0.0,-4.4,19,-24.6,-4.9,0.33,2802,1,100.0,120,Estacion Vendaval,2021-06-06 20:00:00
4,6/6/21,22:00,-4.2,-3.0,-4.2,31,-18.8,17.7,N,35.41,56.3,WNW,-10.1,-4.7,-10.6,---,581.1,0.0,0.0,0,0.0,0,1.875,0.0,-6.8,22,-25.0,-7.3,0.15,2807,1,100.0,120,Estacion Vendaval,2021-06-06 22:00:00
5,7/6/21,00:00,-4.7,-4.0,-4.7,31,-19.3,24.1,WNW,48.28,61.2,WNW,-11.8,-5.2,-12.3,---,581.7,0.0,0.0,0,0.0,0,1.917,0.0,-7.2,23,-24.9,-7.7,0.18,2803,1,100.0,120,Estacion Vendaval,2021-07-06 00:00:00
6,7/6/21,02:00,-4.8,-4.3,-5.2,29,-20.2,22.5,WNW,45.06,49.9,WNW,-11.7,-5.3,-12.2,---,581.5,0.0,0.0,0,0.0,0,1.931,0.0,-8.1,24,-25.1,-8.5,0.18,2800,1,100.0,120,Estacion Vendaval,2021-07-06 02:00:00
7,7/6/21,04:00,-5.9,-4.8,-6.1,32,-20.0,12.9,NW,25.75,32.2,W,-11.2,-6.3,-11.6,---,581.3,0.0,0.0,0,0.0,0,2.019,0.0,-9.6,25,-26.0,-10.0,0.13,2800,1,100.0,120,Estacion Vendaval,2021-07-06 04:00:00
8,7/6/21,06:00,-5.7,-5.3,-5.9,28,-21.3,11.3,WNW,22.53,33.8,WNW,-10.4,-6.1,-10.9,---,580.8,0.0,0.0,0,0.0,0,2.0,0.0,-9.7,25,-26.1,-10.1,0.1,2806,1,100.0,120,Estacion Vendaval,2021-07-06 06:00:00
9,7/6/21,08:00,-5.6,-5.3,-5.8,25,-22.5,11.3,NW,22.53,33.8,NW,-10.3,-6.1,-10.8,---,581.8,0.0,0.0,0,0.0,0,1.991,0.0,-9.9,25,-26.3,-10.3,0.1,2804,1,100.0,120,Estacion Vendaval,2021-07-06 08:00:00
10,7/6/21,10:00,-3.3,-3.3,-6.0,23,-21.6,6.4,NW,12.87,29.0,WNW,-6.1,-3.9,-6.7,---,582.8,0.0,0.0,103,17.72,366,1.806,0.0,-6.3,27,-22.3,-6.7,0.1,2806,1,100.0,120,Estacion Vendaval,2021-07-06 10:00:00
11,7/6/21,12:00,-0.7,-0.4,-3.3,24,-18.8,17.7,NW,35.41,41.8,WNW,-5.7,-1.4,-6.4,---,582.9,0.0,0.0,511,87.9,696,1.583,0.0,1.4,24,-17.0,0.6,0.51,2805,1,100.0,120,Estacion Vendaval,2021-07-06 12:00:00
