"TOA5","CR300Series","CR300","4600","CR300-RF407.Std.05.01","CPU:MET-02_Arizaro_v2.CR300","62431","DATA_DIARIO"
"TIMESTAMP","RECORD","BattV_Avg","LoggerTemp_C_Avg","VelViento_ms_Min","VelViento_ms_Avg","DirViento_Grad","Sigma_Theta","VelViento_ms_Max","Rafaga_ms_Max","VelViento_KPH_Min","VelViento_KPH_Avg","VelViento_KPH_Max","TempAmb_C_Min","TempAmb_C_Avg","TempAmb_C_Max","HRelativa_Min","HRelativa_Avg","HRelativa_Max","HRelativa","PBar_mbar_Min","PBar_mbar_Avg","PBar_mbar_Max","Precip_mm_Tot","RadNeta_Wm2_Min","RadNeta_Wm2_Avg","RadNeta_Wm2_Max","DT","Q","TCDT","AltNieve_m","RadSolar_Wm2_Min","RadSolar_Wm2_Avg","RadSolar_Wm2_Max","RadSolar_MJ_Tot","TPRocio_C_Avg","TBHumedo_C_Avg","IndiceCalor_C_Avg"
"TS","RN","Volts","Grad_Celsius","m/s","m/s","Grados_Sexag","Deg","m/s","","","","","Grad_Celsius","Grad_Celsius","Grad_Celsius","%","%","%","%","mbar","mbar","mbar","mm","Watts/m^2","Watts/m^2","Watts/m^2","","","","meters","Watts/m^2","Watts/m^2","Watts/m^2","MJ/m^2","Grad_Celsius","Grad_Celsius","Grad_Celsius"
"","","Avg","Avg","Min","WVc","WVc","WVc","Max","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Smp","Min","Avg","Max","Tot","Min","Avg","Max","Smp","Smp","Smp","Smp","Min","Avg","Max","Tot","Avg","Avg","Avg"
"2019-08-08 00:00:00",0,13.37,7.879,0,15.37,305.5,11.59,24.59,22.88,0,55.33,88.5,-0.484,4.108,9.86,2.478,6.057,12.01,11.87,499.9748,597.2626,599.1426,0,-179,104.7,620.9,1.642,209,1.641,0.009,"NAN","NAN","NAN","NAN",-31.39,-5.008,4.108
"2019-08-09 00:00:00",1,13.37,5.116,0,17.37,315.8,11.84,29.62,27.82,0,62.53,106.6,-4.81,0.12,5.672,10.11,13.78,17.24,16.07,499.5763,593.9663,596.8087,0,-155.4,163.1,725.2,1.658,185,1.644,0.006,"NAN","NAN","NAN","NAN",-24.52,-6.795,0.12
"2019-08-10 00:00:00",2,13.06,1.855,0,10.34,304.9,16.5,18.43,17.96,0,37.22,66.33,-6.292,-2.974,1.235,10.7,16.2,24.16,17.83,499.743,596.3196,597.5408,0,-152.3,-6.286,502.2,1.66,190,1.642,0.008,0,180.2,855,11.04275,-25.38,-8.76,-2.974
"2019-08-11 00:00:00",3,13.11,2.463,2.832,10.22,309.4,17.94,20.23,19.94,10.2,36.78,72.81,-6.422,-1.516,5.742,-0.396,7.283,20.15,16.17,595.4944,596.7223,597.9185,0,-160.6,55.79,637.7,1.661,192,1.642,0.008,0,295.6,1041,51.07156,-37.41,-8.42,-1.516
"2019-08-12 00:00:00",4,13.29,4.249,0,11.76,313.9,13.81,21.92,21.3,0,42.35,78.93,-5.51,-0.96,3.398,3.02,9.74,17.76,16.81,499.648,596.5589,597.7792,0,-151.5,151.6,648.9,1.657,190,1.642,0.008,"NAN","NAN","NAN","NAN",-30.17,-7.911,-0.96
"2019-08-13 00:00:00",5,13.17,5.301,0,7.899,301.5,21.7,13.43,13.16,0,28.44,48.34,-4.182,0.407,6.086,5.524,11.5,21.25,17.88,499.7619,598.6091,599.6283,0,-151,-1.669,457.4,1.651,192,1.64,0.01,0,207.6,914,13.16811,-27.03,-6.855,0.407
"2019-08-14 00:00:00",6,13.15,4.978,0,4.044,302.1,74.25,13.76,12.91,0,14.56,49.54,-3.624,1.319,8.69,2.41,7.225,18.75,8.35,598.3311,599.1946,600.1912,0,-161.8,29.15,463.4,1.643,192,1.643,0.007,0,289.8,1084,50.07643,-30.98,-6.603,1.319
"2019-08-15 00:00:00",7,13.18,6.819,0,9.24,295.6,49.71,22.76,20.38,0,33.26,81.9,-1.821,2.905,10.32,1.804,7.439,19.12,14.55,597.4151,599.3281,601.0936,0,-174.3,46.42,569.8,1.639,182,1.644,0.006,0,299.3,1051,51.71889,-30.42,-5.611,2.905
"2019-08-16 00:00:00",8,13.17,7.574,2.799,9.63,294.2,21.49,18.69,17.57,10.08,34.68,67.29,-1.538,3.206,10.56,9.25,19.35,34.04,22.54,598.1719,599.6305,600.8783,0,"NAN","NAN","NAN",1.645,191,1.644,0.006,0,292.1,1081,50.47276,-18.76,-4.226,3.206
"2019-08-17 00:00:00",9,13.16,6.7,2.666,10.16,301.8,14.92,21.82,20.53,9.6,36.56,78.57,-2.338,2.558,9.95,4.9,17.42,28.96,25.52,597.616,599.0703,599.9816,0,-156.7,66.45,613.4,1.648,190,1.643,0.007,"NAN","NAN","NAN","NAN",-20.9,-4.903,2.558
"2019-08-18 00:00:00",10,13.17,6,4.798,11.21,307.8,12.87,21.82,19.81,17.27,40.34,78.57,-2.854,1.743,8.95,4.475,12.95,26.33,14.64,596.5259,597.8469,598.9793,0,-155.2,73.51,658.9,1.648,191,1.642,0.008,0,299.2,1052,51.69755,-25.07,-5.862,1.743
"2019-08-19 00:00:00",11,13.16,4.38,4.765,11.3,316.3,11.54,20.23,19.3,17.15,40.69,72.81,-4.171,0.075,6.368,5.086,10.48,16.59,15.86,596.4346,597.623,598.6694,0,-147.6,62.49,763,1.65,191,1.641,0.009,0,278.1,1256,48.05678,-27.96,-7.137,0.075
