"TOA5","CR300Series","CR300","4601","CR300-RF407.Std.05.01","CPU:MET-01_Caipe-Alto_v2.CR300","42212","DATA_DIARIO"
"TIMESTAMP","RECORD","BattV_Avg","LoggerTemp_C_Avg","VelViento_ms_Min","VelViento_ms_Avg","DirViento_Grad","Sigma_Theta","VelViento_ms_Max","Rafaga_ms_Max","VelViento_KPH_Min","VelViento_KPH_Avg","VelViento_KPH_Max","TempAmb_C_Min","TempAmb_C_Avg","TempAmb_C_Max","HRelativa_Min","HRelativa_Avg","HRelativa_Max","HRelativa","PBar_mbar_Min","PBar_mbar_Avg","PBar_mbar_Max","Precip_mm_Tot","RadNeta_Wm2_Min","RadNeta_Wm2_Avg","RadNeta_Wm2_Max","DT","Q","TCDT","AltNieve_m","RadSolar_Wm2_Min","RadSolar_Wm2_Avg","RadSolar_Wm2_Max","RadSolar_MJ_Tot","TPRocio_C_Avg","TBHumedo_C_Avg","IndiceCalor_C_Avg"
"TS","RN","Volts","Grad_Celsius","m/s","m/s","Grados_Sexag","Deg","m/s","","","","","Grad_Celsius","Grad_Celsius","Grad_Celsius","%","%","%","%","mbar","mbar","mbar","mm","Watts/m^2","Watts/m^2","Watts/m^2","","","","meters","Watts/m^2","Watts/m^2","Watts/m^2","MJ/m^2","Grad_Celsius","Grad_Celsius","Grad_Celsius"
"","","Avg","Avg","Min","WVc","WVc","WVc","Max","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Smp","Min","Avg","Max","Tot","Min","Avg","Max","Smp","Smp","Smp","Smp","Min","Avg","Max","Tot","Avg","Avg","Avg"
"2019-08-07 00:00:00",0,13.31,7.743,0,7.071,289.7,18.7,16.49,15.46,0,25.46,59.38,-2.624,3.522,13.19,0.568,3.098,5.915,4.08,499.6994,578.4705,579.0879,16.26,-210.5,42.49,469,1.543,184,1.537,-0.002,0,268.4,830,19.42136,-39.25,-5.743,3.522
"2019-08-08 00:00:00",1,13.14,3.369,0.033,8.49,272.5,25.92,20.13,19.77,0.12,30.57,72.45,-4.794,0.1,7.95,3.178,6.352,15.84,12.22,576.5707,577.8333,579.1559,0,-144.8,52.66,496.7,1.544,186,1.536,-0.001,"NAN","NAN","NAN","NAN",-33.62,-7.518,0.1
"2019-08-09 00:00:00",2,13.12,2.303,6.198,15.25,305.5,11.12,31.29,29.02,22.31,54.92,112.6,-7.705,-2.358,4.285,11.25,16.96,27.3,24.25,571.9749,574.613,576.9059,0,-128.8,70.02,648.1,1.556,190,1.535,0,0,222.4,839,38.43308,-24.38,-8.28,-2.358
"2019-08-10 00:00:00",3,13.15,0.564,0,9.39,272.1,32.93,22.09,21.44,0,33.82,79.53,-9.17,-4.652,0.898,8.81,16.51,24.77,23.83,499.559,575.2324,576.3444,0,-136.2,-8.78,423.5,1.561,184,1.536,0,0,164.1,714.2,9.884465,-26.8,-10.01,-4.652
"2019-08-11 00:00:00",4,13.11,-0.176,0,7.067,290.5,46.65,19.09,18.67,0,25.44,68.73,-10.59,-4.058,4.225,1.035,11.23,26.36,20.77,574.574,575.8121,576.9963,0,-137.4,53.21,534.4,1.558,176,1.537,-0.002,0,239.7,844,41.41201,-33.79,-10.08,-4.058
"2019-08-12 00:00:00",5,13.35,2.838,0,11.4,305.3,11.21,21.16,20.36,0,41.05,76.17,-8.58,-2.752,2.426,2.178,10.14,18.62,17.41,499.5375,575.4885,576.8509,0,-138.1,115.6,561.1,1.558,212,1.535,0,0,339.7,849,27.87718,-31.55,-9.14,-2.752
"2019-08-13 00:00:00",6,12.78,0.811,0,4.825,293.9,53.89,11.66,11.4,0,17.37,41.98,-5.432,-2.997,2.566,8.68,13.12,16.27,14.82,499.605,577.9904,578.6937,0,-130.8,-96.7,-21.83,1.551,198,1.54,-0.004,0,19.23,226.9,0.7978922,-27.63,-8.99,-2.997
"2019-08-14 00:00:00",7,12.85,2.599,0,3.565,296.8,70.18,10.46,10.17,0,12.83,37.66,-2.716,-0.58,4.821,3.708,6.473,8.53,7.34,499.6537,578.8448,579.5009,0,-130.8,-99.9,-63.07,1.541,175,1.537,-0.002,0,7.768,147.1,0.3009471,-33.28,-7.877,-0.58
"2019-08-15 00:00:00",8,13.16,4.597,0,5.289,268.6,54.19,20.56,19.34,0,19.04,74.01,-3.1,1.359,8.12,3.018,7.135,20.17,19.59,577.4603,578.8125,580.0497,0,-134.7,57.46,491.6,1.542,178,1.537,-0.001,0,243,852,41.9819,-31.92,-6.627,1.359
"2019-08-16 00:00:00",9,13.15,5.306,1.899,8.1,270.9,25.06,18.43,17.23,6.837,29.16,66.33,-3.911,0.861,9.11,11.04,21.44,35.41,30.56,577.8212,579.038,580.0746,0,-126.8,64.19,544.5,1.548,174,1.538,-0.002,0,236,882,40.78764,-19.43,-5.696,0.861
"2019-08-17 00:00:00",10,13.15,3.925,0,7.484,270.1,31.99,19.76,18.97,0,26.94,71.13,-5.352,-0.229,8.35,6.422,20.07,32.86,27.33,577.5311,578.449,579.2359,0,-126.7,66.52,571,1.55,176,1.536,-0.001,0,245.4,871,42.40553,-21.67,-6.661,-0.229
"2019-08-18 00:00:00",11,13.14,3.186,3.732,9.6,277.7,17.85,20.79,20.24,13.43,34.56,74.85,-6.934,-1.244,7.416,6.21,15.13,31.87,16.37,576.0956,577.2172,578.1577,0,-111.5,71.62,557.1,1.55,181,1.537,-0.001,0,241,857,41.64427,-25.74,-7.766,-1.244
