;;Temp.;Temp.;Temp.;Hum.;Pto.;Vel.;Dir.;Rec.;Vel.;Dir.;Sens.;Ind.;Ind.;Indice;;;Int. ;Rad.;Energía;Max.Rad.;Grad.D.;Grad.D.;Temp.;Hum.;Rocío;In.Cal.;;Muest;Tx  ;Recep.;Int.
Date;Time;Ext.;Máx.;Mín.;Ext.;Rocío;Viento;Viento;Viento;Máx.;Max.;Term.;Calor;THW ;THSW ;Bar  ;Lluvia;Lluvia;Solar;Solar;Solar ;Calor ;Frío ;Int.;Int.;Int.;Int.  ;ET  ;Viento;Viento;ISS ;Arc.
29/4/21;16:38;11.3;11.3;11.3;12;-17.1;4.8;E;0.08;9.7;E;11.3;9.5;9.4;---;658.0;0.00;0.0;536;0.77;536;0.005;0.000;---;6;---;---;0.00;20;1;87.0;1
29/4/21;16:39;11.3;11.4;11.3;12;-17.1;4.8;E;0.08;8.0;E;11.3;9.5;9.4;---;658.0;0.00;0.0;534;0.77;534;0.005;0.000;16.9;6;-21.0;13.7;0.00;24;1;100.0;1
29/4/21;16:40;11.4;11.4;11.4;12;-17.1;4.8;SSE;0.08;8.0;SE;11.4;9.5;9.5;---;658.0;0.00;0.0;531;0.76;531;0.005;0.000;16.9;6;-21.0;13.6;0.00;23;1;100.0;1
29/4/21;16:41;11.4;11.4;11.4;12;-17.0;3.2;SSE;0.05;6.4;SSE;11.4;9.6;9.6;---;658.0;0.00;0.0;526;0.75;526;0.005;0.000;16.9;6;-21.0;13.6;0.00;23;1;100.0;1
29/4/21;18:00;11.6;12.1;11.2;12;-17.0;3.2;E;6.44;14.5;SE;11.6;9.6;9.6;9.8;657.4;0.00;0.0;375;64.51;515;0.565;0.000;16.7;23;-4.5;14.2;0.51;1803;1;65.9;120
29/4/21;20:00;10.4;12.1;8.6;11;-18.9;12.9;NW;25.75;45.1;NW;8.5;8.8;6.9;3.2;658.7;0.00;0.0;37;6.36;202;0.662;0.000;11.5;25;-7.9;9.9;0.30;2808;1;100.0;120
29/4/21;22:00;7.2;8.6;5.9;13;-19.5;25.7;NW;51.50;41.8;NW;2.8;5.9;1.6;-1.6;660.3;0.00;0.0;0;0.00;0;0.931;0.000;6.2;24;-12.9;5.2;0.41;2810;1;100.0;120
30/4/21;00:00;5.4;7.2;4.3;14;-20.0;8.0;NNE;16.09;27.4;NNE;3.7;4.3;2.5;-1.9;661.9;0.00;0.0;0;0.00;0;1.074;0.000;3.3;27;-13.9;2.4;0.20;2809;1;100.0;120
30/4/21;02:00;2.7;5.4;0.2;15;-21.5;6.4;NNW;12.87;20.9;WNW;0.9;1.7;-0.1;-4.6;663.1;0.00;0.0;0;0.00;0;1.306;0.000;0.2;29;-15.8;-0.5;0.15;2802;1;100.0;120
30/4/21;04:00;0.5;1.2;-0.4;19;-20.5;4.8;NW;9.66;17.7;NW;-0.9;-0.3;-1.8;-4.4;664.6;0.00;0.0;0;0.00;0;1.486;0.000;-2.3;30;-17.6;-2.9;0.13;2805;1;100.0;120
30/4/21;06:00;-1.5;-0.4;-2.5;24;-19.5;8.0;NW;16.09;20.9;WNW;-4.5;-2.2;-5.2;-7.8;665.8;0.00;0.0;0;0.00;0;1.653;0.000;-3.4;32;-17.8;-4.0;0.13;2807;1;100.0;120
30/4/21;08:00;-2.6;-1.0;-3.6;24;-20.4;8.0;WNW;16.09;19.3;NW;-5.7;-3.2;-6.4;-9.1;668.5;0.00;0.0;0;0.00;9;1.741;0.000;-4.6;32;-18.8;-5.1;0.10;2804;1;100.0;120
30/4/21;10:00;-1.1;2.9;-4.1;18;-22.4;3.2;N;6.44;11.3;NNE;-1.7;-1.8;-2.4;-2.1;670.7;0.00;0.0;220;37.84;464;1.616;0.000;-3.9;33;-17.9;-4.4;0.18;2806;1;100.0;120
15/5/21;00:00;5.7;6.7;4.8;33;-9.4;14.5;NW;28.97;41.8;WNW;2.6;4.8;1.7;-2.0;673.4;0.00;0.0;0;0.00;0;1.056;0.000;3.8;47;-6.5;3.2;0.20;2808;1;100.0;120
15/5/21;02:00;4.9;6.1;3.2;40;-7.6;14.5;NW;28.97;37.0;NW;1.8;4.2;1.0;-2.7;673.7;0.00;0.0;0;0.00;0;1.116;0.000;3.4;47;-6.8;2.8;0.18;2808;1;100.0;120
15/5/21;04:00;2.2;3.1;1.4;44;-8.8;8.0;NW;16.09;22.5;WNW;-0.1;1.6;-0.7;-3.2;673.3;0.00;0.0;0;0.00;0;1.343;0.000;0.3;48;-9.4;-0.2;0.10;2806;1;100.0;120
