;;Temp.;Temp.;Temp.;Hum.;Pto.;Vel.;Dir.;Rec.;Vel.;Dir.;Sens.;Ind.;Ind.;Indice;;;Int. ;Rad.;Energa;Max.Rad.;Grad.D.;Grad.D.;Temp.;Hum.;Roco;In.Cal.;;Muest;Tx  ;Recep.;Int.
Fecha;Hora;Ext.;Mx.;Mn.;Ext.;Roco;Viento;Viento;Viento;Mx.;Max.;Term.;Calor;THW ;THSW ;Bar  ;Lluvia;Lluvia;Solar;Solar;Solar ;Calor ;Fro ;Int.;Int.;Int.;Int.  ;ET  ;Viento;Viento;ISS ;Arc.
14/12/21;8:00 a.m.;5.3;6.1;4.6;40;-7.3;1.6;ENE;3.22;6.4;ENE;5.3;4.5;4.5;5.4;665.7;0.00;0.0;247;42.49;287;1.088;0.000;14.7;21;-7.4;12.4;0.10;485;1;17.7;120
14/12/21;10:00 a.m.;7.9;9.5;6.1;26;-10.4;4.8;SSE;9.66;16.1;S;7.5;6.9;6.4;10.1;667.2;0.00;0.0;540;92.89;770;0.866;0.000;10.2;22;-10.6;8.9;0.53;2809;1;100.0;120
14/12/21;12:00 p.m.;11.1;13.7;9.1;16;-13.8;8.0;S;16.09;25.7;SE;10.3;9.4;8.6;12.4;666.1;0.00;0.0;947;162.91;1085;0.602;0.000;12.9;20;-9.6;10.9;1.07;2808;1;100.0;120
14/12/21;2:00 p.m.;15.4;17.0;13.1;12;-13.9;16.1;SSE;32.19;35.4;SE;13.7;12.6;10.9;22.0;664.2;0.00;0.0;1136;195.42;1162;0.245;0.000;16.4;17;-8.7;13.7;1.50;2808;1;100.0;120
14/12/21;4:00 p.m.;18.4;19.4;16.7;8;-16.5;19.3;NO;38.62;46.7;ONO;16.4;15.1;13.1;20.1;662.3;0.00;0.0;1071;184.24;1146;0.000;0.005;19.6;14;-8.7;16.4;1.65;2808;1;100.0;120
14/12/21;6:00 p.m.;18.7;19.4;17.7;7;-17.9;24.1;NO;48.28;45.1;NO;16.1;15.2;12.6;16.1;662.5;0.00;0.0;748;128.67;949;0.000;0.028;19.8;11;-11.5;16.6;1.42;2810;1;100.0;120
14/12/21;8:00 p.m.;16.0;17.7;13.6;21;-6.4;20.9;NO;41.84;41.8;ONO;13.4;13.4;10.9;10.1;663.2;0.00;0.0;256;44.04;522;0.194;0.000;16.6;12;-13.0;13.6;0.76;2809;1;100.0;120
14/12/21;10:00 p.m.;11.6;13.6;10.1;27;-6.8;22.5;NO;45.06;37.0;NNO;8.2;10.1;6.7;3.6;664.6;0.00;0.0;1;0.17;12;0.560;0.000;11.2;17;-13.0;9.5;0.38;2807;1;100.0;120
15/12/21;12:00 a.m.;9.4;10.3;7.7;26;-9.1;11.3;O;22.53;33.8;ONO;7.8;8.3;6.6;2.6;666.0;0.00;0.0;0;0.00;0;0.741;0.000;7.9;18;-15.0;6.7;0.23;2809;1;100.0;120
15/12/21;2:00 a.m.;8.2;8.6;7.8;29;-8.8;12.9;ONO;25.75;35.4;ONO;5.9;7.2;4.9;1.1;665.0;0.00;0.0;0;0.00;0;0.843;0.000;6.4;18;-16.3;5.3;0.23;2806;1;100.0;120
15/12/21;4:00 a.m.;5.9;7.9;3.9;29;-10.8;6.4;NO;12.87;20.9;NNO;4.6;4.9;3.7;1.2;664.8;0.00;0.0;0;0.00;0;1.037;0.000;4.1;19;-17.5;3.1;0.15;2806;1;100.0;120
15/12/21;6:00 a.m.;3.2;4.1;1.9;34;-11.2;6.4;NNO;12.87;17.7;ONO;1.5;2.4;0.7;-1.8;665.1;0.00;0.0;0;0.00;0;1.264;0.000;1.2;20;-19.3;0.4;0.13;2809;1;100.0;120
15/12/21;8:00 a.m.;3.4;5.4;1.9;30;-12.6;8.0;ONO;16.09;17.7;ONO;1.2;2.6;0.4;-1.1;666.8;0.00;0.0;74;12.73;294;1.245;0.000;1.2;21;-18.8;0.4;0.15;2807;1;100.0;120
15/12/21;10:00 a.m.;8.4;10.8;5.4;20;-13.3;8.0;S;16.09;20.9;SSO;7.2;7.2;5.9;9.5;667.5;0.00;0.0;537;92.38;770;0.824;0.000;8.3;19;-14.0;7.1;0.61;2807;1;100.0;120
15/12/21;12:00 p.m.;12.1;13.8;10.6;17;-12.3;8.0;S;16.09;19.3;SSE;11.4;10.2;9.5;13.3;666.2;0.00;0.0;950;163.42;1090;0.523;0.000;13.6;17;-11.1;11.3;1.09;2810;1;100.0;120
15/12/21;2:00 p.m.;16.2;18.4;13.8;11;-14.3;9.7;SE;19.31;24.1;S;16.1;13.3;13.2;25.9;663.7;0.00;0.0;1140;196.11;1160;0.176;0.000;18.0;15;-9.1;15.0;1.42;2808;1;100.0;120
15/12/21;4:00 p.m.;19.5;20.9;17.8;8;-15.7;12.9;S;25.75;29.0;SO;19.2;16.1;15.8;23.7;660.8;0.00;0.0;1063;182.86;1151;0.000;0.097;21.3;13;-8.3;18.4;1.52;2810;1;100.0;120
15/12/21;6:00 p.m.;21.4;22.6;20.4;7;-15.9;20.9;NO;41.84;49.9;O;19.5;18.4;16.4;20.6;659.1;0.00;0.0;789;135.73;1021;0.000;0.259;23.1;10;-10.2;20.7;1.50;2810;1;100.0;120
15/12/21;8:00 p.m.;19.0;21.2;16.6;13;-10.1;33.8;NO;67.59;57.9;ONO;15.6;15.8;12.4;11.9;659.8;0.00;0.0;290;49.89;679;0.000;0.056;19.7;9;-14.2;16.3;1.14;2810;1;100.0;120
15/12/21;10:00 p.m.;14.8;16.6;13.4;16;-10.8;32.2;NO;64.37;54.7;NO;10.9;12.2;8.3;5.7;661.0;0.00;0.0;2;0.34;18;0.296;0.000;14.4;12;-14.7;11.8;0.63;2807;1;100.0;120
16/12/21;12:00 a.m.;12.7;13.6;11.8;14;-14.2;29.0;NO;57.94;54.7;NO;8.8;10.5;6.6;3.7;663.2;0.00;0.0;0;0.00;0;0.472;0.000;11.8;12;-16.8;9.8;0.53;2808;1;100.0;120
16/12/21;2:00 a.m.;9.9;11.9;8.2;21;-11.5;12.9;N;25.75;25.7;NO;7.9;8.7;6.7;2.8;663.0;0.00;0.0;0;0.00;0;0.704;0.000;8.9;14;-17.2;7.6;0.28;2754;1;100.0;120
16/12/21;4:00 a.m.;7.7;8.4;7.0;22;-12.8;8.0;N;16.09;20.9;O;6.3;6.6;5.2;2.7;662.5;0.00;0.0;0;0.00;0;0.889;0.000;5.8;14;-19.7;4.6;0.20;2808;1;100.0;120
