N.º,Fecha Tiempo. GMT-03:00,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de Ráfagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Dirección del viento. ø (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
,,,,
1,31/05/22 09:53:59,43.272,51.696,331.3
2,31/05/22 09:58:59,43.272,60.12,336.9
3,31/05/22 10:03:59,40.86,62.532,349.6
4,31/05/22 10:08:59,44.496,57.708,341.2
5,31/05/22 10:13:59,44.496,64.908,339.7
6,31/05/22 10:18:59,39.672,57.708,1.4
7,31/05/22 10:23:59,37.26,68.544,351
8,31/05/22 10:28:59,42.084,63.72,355.2
9,31/05/22 10:33:59,49.284,67.32,331.3
10,31/05/22 10:38:59,44.496,66.132,325.7
11,31/05/22 10:43:59,50.508,66.132,338.3
12,31/05/22 10:48:59,49.284,72.144,345.4
13,31/05/22 10:53:59,45.684,58.896,334.1
14,31/05/22 10:58:59,40.86,68.544,338.3
15,31/05/22 11:03:59,42.084,60.12,332.7
16,31/05/22 11:08:59,49.284,66.132,344
17,31/05/22 11:13:59,46.872,68.544,335.5
18,31/05/22 11:18:59,44.496,61.308,332.7
19,31/05/22 11:23:59,42.084,64.908,346.8
20,31/05/22 11:28:59,48.096,68.544,345.4
21,31/05/22 11:33:59,51.696,73.332,341.2
22,31/05/22 11:38:59,45.684,73.332,1.4
23,31/05/22 11:43:59,38.484,54.108,334.1
24,31/05/22 11:48:59,43.272,68.544,327.1
25,31/05/22 11:53:59,42.084,64.908,324.3
26,31/05/22 11:58:59,45.684,61.308,352.4
27,31/05/22 12:03:59,36.072,61.308,334.1
28,31/05/22 12:08:59,38.484,54.108,345.4
29,31/05/22 12:13:59,39.672,60.12,349.6
30,31/05/22 12:18:59,43.272,58.896,0
31,31/05/22 12:23:59,43.272,66.132,342.6
32,31/05/22 12:28:59,42.084,61.308,339.7
