"Título de trazado: 20682650"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Dirección del viento, ø (LGR S/N: 20682650, SEN S/N: 20679483, LBL: N-S)"
1,03/13/20 08:52:00 AM,0.000,0.000,349.6
2,03/13/20 08:53:00 AM,0.000,0.000,349.6
3,03/13/20 08:54:00 AM,0.000,0.000,349.6
4,03/13/20 08:55:00 AM,0.000,1.188,349.6
5,03/13/20 08:56:00 AM,1.188,1.188,351.0
6,03/13/20 08:57:00 AM,0.000,1.188,351.0
7,03/13/20 08:58:00 AM,0.000,0.000,351.0
8,03/13/20 08:59:00 AM,0.000,0.000,351.0
9,03/13/20 09:00:00 AM,0.000,0.000,351.0
10,03/13/20 09:01:00 AM,0.000,0.000,351.0
11,03/13/20 09:02:00 AM,1.188,2.412,351.0
12,03/13/20 09:03:00 AM,1.188,2.412,351.0
13,03/13/20 09:04:00 AM,0.000,0.000,351.0
14,03/13/20 09:05:00 AM,0.000,0.000,351.0
15,03/13/20 09:06:00 AM,0.000,0.000,351.0
16,03/13/20 09:07:00 AM,0.000,0.000,351.0
17,03/13/20 09:08:00 AM,0.000,0.000,351.0
18,03/13/20 09:09:00 AM,0.000,0.000,351.0
19,03/13/20 09:10:00 AM,0.000,0.000,351.0
20,03/13/20 09:11:00 AM,0.000,0.000,351.0
21,03/13/20 09:12:00 AM,0.000,2.412,351.0
22,03/13/20 09:13:00 AM,1.188,2.412,351.0
23,03/13/20 09:14:00 AM,0.000,1.188,351.0
24,03/13/20 09:15:00 AM,1.188,4.824,351.0
25,03/13/20 09:16:00 AM,3.600,4.824,351.0
26,03/13/20 09:17:00 AM,3.600,6.012,349.6
27,03/13/20 09:18:00 AM,3.600,3.600,349.6
28,03/13/20 09:19:00 AM,1.188,3.600,349.6
29,03/13/20 09:20:00 AM,2.412,3.600,349.6
30,03/13/20 09:21:00 AM,2.412,3.600,349.6
31,03/13/20 09:22:00 AM,2.412,3.600,349.6
32,03/13/20 09:23:00 AM,2.412,3.600,349.6
33,03/13/20 09:24:00 AM,1.188,2.412,349.6
34,03/13/20 09:25:00 AM,2.412,6.012,351.0
35,03/13/20 09:26:00 AM,4.824,7.200,14.0
36,03/13/20 09:27:00 AM,1.188,3.600,15.4
37,03/13/20 09:28:00 AM,4.824,7.200,19.7
38,03/13/20 09:29:00 AM,6.012,8.424,42.1
39,03/13/20 09:30:00 AM,4.824,6.012,57.6
40,03/13/20 09:31:00 AM,3.600,6.012,57.6
41,03/13/20 09:32:00 AM,4.824,7.200,59.0
42,03/13/20 09:33:00 AM,3.600,6.012,59.0
43,03/13/20 09:34:00 AM,3.600,4.824,59.0
44,03/13/20 09:35:00 AM,1.188,4.824,59.0
45,03/13/20 09:36:00 AM,4.824,7.200,74.4
46,03/13/20 09:37:00 AM,4.824,6.012,98.3
47,03/13/20 09:38:00 AM,3.600,4.824,98.3
48,03/13/20 09:39:00 AM,3.600,6.012,98.3
49,03/13/20 09:40:00 AM,6.012,8.424,101.1
50,03/13/20 09:41:00 AM,7.200,8.424,108.1
51,03/13/20 09:42:00 AM,4.824,8.424,109.5
52,03/13/20 09:43:00 AM,3.600,4.824,109.5
53,03/13/20 09:44:00 AM,1.188,3.600,109.5
54,03/13/20 09:45:00 AM,1.188,7.200,109.5
55,03/13/20 09:46:00 AM,4.824,7.200,110.9
56,03/13/20 09:47:00 AM,4.824,6.012,110.9
57,03/13/20 09:48:00 AM,6.012,8.424,115.1
58,03/13/20 09:49:00 AM,7.200,8.424,126.4
59,03/13/20 09:50:00 AM,4.824,6.012,126.4
60,03/13/20 09:51:00 AM,4.824,6.012,126.4
61,03/13/20 09:52:00 AM,4.824,7.200,126.4
62,03/13/20 09:53:00 AM,6.012,7.200,132.0
63,03/13/20 09:54:00 AM,7.200,9.612,146.0
64,03/13/20 09:55:00 AM,6.012,8.424,148.8
65,03/13/20 09:56:00 AM,4.824,6.012,148.8
66,03/13/20 09:57:00 AM,7.200,9.612,146.0
67,03/13/20 09:58:00 AM,4.824,7.200,147.4
68,03/13/20 09:59:00 AM,4.824,6.012,147.4
69,03/13/20 10:00:00 AM,2.412,7.200,147.4
70,03/13/20 10:01:00 AM,8.424,12.024,133.4
71,03/13/20 10:02:00 AM,6.012,9.612,127.8
72,03/13/20 10:03:00 AM,9.612,13.212,130.6
73,03/13/20 10:04:00 AM,8.424,9.612,130.6
74,03/13/20 10:05:00 AM,7.200,7.200,129.2
75,03/13/20 10:06:00 AM,3.600,4.824,129.2
76,03/13/20 10:07:00 AM,0.000,2.412,129.2
77,03/13/20 10:08:00 AM,2.412,6.012,129.2
78,03/13/20 10:09:00 AM,7.200,8.424,129.2
79,03/13/20 10:10:00 AM,7.200,8.424,127.8
80,03/13/20 10:11:00 AM,4.824,7.200,127.8
81,03/13/20 10:12:00 AM,6.012,7.200,127.8
82,03/13/20 10:13:00 AM,7.200,9.612,122.1
83,03/13/20 10:14:00 AM,4.824,6.012,122.1
84,03/13/20 10:15:00 AM,6.012,10.836,123.5
85,03/13/20 10:16:00 AM,8.424,12.024,106.7
