"Título de trazado: E2"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Dirección del viento, ø (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)"
1,06/08/21 04:34:05 PM,28.872,42.084,206.4
2,06/08/21 04:35:05 PM,32.472,39.672,210.6
3,06/08/21 04:36:05 PM,27.648,36.072,226.0
4,06/08/21 04:37:05 PM,30.060,38.484,219.0
5,06/08/21 04:38:05 PM,24.048,27.648,219.0
6,06/08/21 04:39:05 PM,28.872,38.484,213.4
7,06/08/21 04:40:05 PM,25.236,30.060,206.4
8,06/08/21 04:41:05 PM,28.872,36.072,206.4
9,06/08/21 04:42:05 PM,27.648,33.660,214.8
10,06/08/21 04:43:05 PM,20.448,32.472,219.0
11,06/08/21 04:44:05 PM,22.860,27.648,217.6
12,06/08/21 04:45:05 PM,20.448,21.636,224.6
13,06/08/21 04:46:05 PM,16.848,20.448,213.4
14,06/08/21 04:47:05 PM,20.448,31.248,227.4
15,06/08/21 04:48:05 PM,26.460,32.472,217.6
16,06/08/21 04:49:05 PM,28.872,33.660,203.6
17,06/08/21 04:50:05 PM,28.872,37.260,210.6
18,06/08/21 04:51:05 PM,25.236,31.248,205.0
19,06/08/21 04:52:05 PM,39.672,45.684,220.4
20,06/08/21 04:53:05 PM,39.672,46.872,220.4
21,06/08/21 04:54:05 PM,39.672,45.684,212.0
22,06/08/21 04:55:05 PM,33.660,37.260,203.6
23,06/08/21 04:56:05 PM,28.872,33.660,196.5
24,06/08/21 04:57:05 PM,28.872,33.660,223.2
25,06/08/21 04:58:05 PM,31.248,34.848,203.6
26,06/08/21 04:59:05 PM,30.060,38.484,195.1
27,06/08/21 05:00:05 PM,24.048,31.248,195.1
28,06/08/21 05:01:05 PM,28.872,32.472,205.0
29,06/08/21 05:02:05 PM,28.872,34.848,209.2
30,06/08/21 05:03:05 PM,33.660,44.496,202.2
31,06/08/21 05:04:05 PM,34.848,45.684,210.6
32,06/08/21 05:05:05 PM,31.248,39.672,216.2
33,06/08/21 05:06:05 PM,28.872,40.860,210.6
34,06/08/21 05:07:05 PM,32.472,39.672,205.0
35,06/08/21 05:08:05 PM,36.072,40.860,210.6
36,06/08/21 05:09:05 PM,36.072,40.860,212.0
37,06/08/21 05:10:05 PM,31.248,36.072,203.6
38,06/08/21 05:11:05 PM,32.472,37.260,210.6
39,06/08/21 05:12:05 PM,38.484,44.496,207.8
40,06/08/21 05:13:05 PM,37.260,49.284,212.0
41,06/08/21 05:14:05 PM,40.860,49.284,207.8
42,06/08/21 05:15:05 PM,36.072,43.272,207.8
43,06/08/21 05:16:05 PM,40.860,49.284,212.0
44,06/08/21 05:17:05 PM,39.672,45.684,206.4
45,06/08/21 05:18:05 PM,39.672,49.284,207.8
46,06/08/21 05:19:05 PM,37.260,45.684,207.8
47,06/08/21 05:20:05 PM,37.260,43.272,216.2
48,06/08/21 05:21:05 PM,36.072,44.496,203.6
49,06/08/21 05:22:05 PM,33.660,36.072,207.8
50,06/08/21 05:23:05 PM,28.872,32.472,212.0
51,06/08/21 05:24:05 PM,28.872,36.072,213.4
52,06/08/21 05:25:05 PM,30.060,40.860,203.6
53,06/08/21 05:26:05 PM,26.460,30.060,207.8
54,06/08/21 05:27:05 PM,31.248,34.848,206.4
55,06/08/21 05:28:05 PM,30.060,33.660,212.0
56,06/08/21 05:29:05 PM,37.260,45.684,212.0
57,06/08/21 05:30:05 PM,39.672,45.684,202.2
58,06/08/21 05:31:05 PM,32.472,38.484,205.0
59,06/08/21 05:32:05 PM,34.848,46.872,205.0
60,06/08/21 05:33:05 PM,32.472,36.072,205.0
61,06/08/21 05:34:05 PM,28.872,37.260,196.5
62,06/08/21 05:35:05 PM,38.484,46.872,207.8
63,06/08/21 05:36:05 PM,33.660,40.860,205.0
64,06/08/21 05:37:05 PM,31.248,36.072,198.0
65,06/08/21 05:38:05 PM,39.672,45.684,198.0
66,06/08/21 05:39:05 PM,36.072,40.860,198.0
67,06/08/21 05:40:05 PM,40.860,46.872,207.8
68,06/08/21 05:41:05 PM,39.672,52.884,217.6
69,06/08/21 05:42:05 PM,36.072,44.496,221.8
70,06/08/21 05:43:05 PM,45.684,50.508,217.6
71,06/08/21 05:44:05 PM,40.860,50.508,212.0
72,06/08/21 05:45:05 PM,38.484,44.496,207.8
73,06/08/21 05:46:05 PM,46.872,55.296,206.4
74,06/08/21 05:47:05 PM,42.084,49.284,214.8
75,06/08/21 05:48:05 PM,42.084,51.696,213.4
76,06/08/21 05:49:05 PM,33.660,39.672,206.4
77,06/08/21 05:50:05 PM,34.848,43.272,203.6
78,06/08/21 05:51:05 PM,37.260,40.860,213.4
79,06/08/21 05:52:05 PM,39.672,49.284,219.0
80,06/08/21 05:53:05 PM,37.260,46.872,220.4
81,06/08/21 05:54:05 PM,36.072,40.860,196.5
82,06/08/21 05:55:05 PM,37.260,44.496,203.6
83,06/08/21 05:56:05 PM,38.484,45.684,195.1
84,06/08/21 05:57:05 PM,44.496,52.884,198.0
85,06/08/21 05:58:05 PM,44.496,51.696,209.2
86,06/08/21 05:59:05 PM,49.284,56.520,202.2
