"Título de trazado:  E1"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Dirección del viento, ø (LGR S/N: 20682650, SEN S/N: 20679483, LBL: N-S)"
1,03/29/22 10:06:15 AM,6.012,7.200,154.4
2,03/29/22 10:11:15 AM,4.824,8.424,137.6
3,03/29/22 10:16:15 AM,2.412,10.836,136.2
4,03/29/22 10:21:15 AM,7.200,10.836,154.4
5,03/29/22 10:26:15 AM,7.200,13.212,164.3
6,03/29/22 10:31:15 AM,8.424,13.212,143.2
7,03/29/22 10:36:15 AM,8.424,12.024,151.6
8,03/29/22 10:41:15 AM,9.612,14.436,150.2
9,03/29/22 10:46:15 AM,9.612,16.848,157.2
10,03/29/22 10:51:15 AM,8.424,13.212,140.4
11,03/29/22 10:56:15 AM,7.200,14.436,148.8
12,03/29/22 11:01:15 AM,7.200,18.036,155.8
13,03/29/22 11:06:15 AM,8.424,15.624,160.0
14,03/29/22 11:11:15 AM,8.424,15.624,144.6
15,03/29/22 11:16:15 AM,9.612,18.036,161.5
16,03/29/22 11:21:15 AM,9.612,14.436,147.4
17,03/29/22 11:26:15 AM,8.424,16.848,147.4
18,03/29/22 11:31:15 AM,12.024,18.036,148.8
19,03/29/22 11:36:15 AM,12.024,21.636,153.0
20,03/29/22 11:41:15 AM,13.212,19.224,148.8
21,03/29/22 11:46:15 AM,14.436,21.636,143.2
22,03/29/22 11:51:15 AM,13.212,19.224,140.4
23,03/29/22 11:56:15 AM,12.024,19.224,134.8
24,03/29/22 12:01:15 PM,10.836,20.448,137.6
25,03/29/22 12:06:15 PM,12.024,19.224,146.0
26,03/29/22 12:11:15 PM,10.836,16.848,148.8
27,03/29/22 12:16:15 PM,12.024,22.860,150.2
28,03/29/22 12:21:15 PM,12.024,19.224,139.0
29,03/29/22 12:26:15 PM,10.836,18.036,91.3
30,03/29/22 12:31:15 PM,12.024,19.224,144.6
31,03/29/22 12:36:15 PM,10.836,20.448,148.8
32,03/29/22 12:41:15 PM,12.024,22.860,150.2
33,03/29/22 12:46:15 PM,13.212,20.448,153.0
34,03/29/22 12:51:15 PM,12.024,21.636,165.7
35,03/29/22 12:56:15 PM,13.212,20.448,146.0
36,03/29/22 01:01:15 PM,13.212,22.860,155.8
37,03/29/22 01:06:15 PM,15.624,25.236,154.4
38,03/29/22 01:11:15 PM,13.212,24.048,147.4
39,03/29/22 01:16:15 PM,13.212,24.048,151.6
40,03/29/22 01:21:15 PM,15.624,22.860,154.4
41,03/29/22 01:26:15 PM,14.436,22.860,158.6
42,03/29/22 01:31:15 PM,18.036,24.048,157.2
43,03/29/22 01:36:15 PM,12.024,22.860,151.6
44,03/29/22 01:41:15 PM,18.036,26.460,157.2
45,03/29/22 01:46:15 PM,16.848,27.648,154.4
46,03/29/22 01:51:15 PM,14.436,24.048,146.0
47,03/29/22 01:56:15 PM,13.212,25.236,153.0
48,03/29/22 02:01:15 PM,13.212,24.048,151.6
49,03/29/22 02:06:15 PM,15.624,24.048,154.4
50,03/29/22 02:11:15 PM,13.212,26.460,160.0
51,03/29/22 02:16:15 PM,13.212,27.648,162.9
52,03/29/22 02:21:15 PM,13.212,24.048,175.5
53,03/29/22 02:26:15 PM,13.212,31.248,205.0
54,03/29/22 02:31:15 PM,13.212,25.236,186.7
55,03/29/22 02:36:15 PM,18.036,27.648,176.9
56,03/29/22 02:41:15 PM,19.224,31.248,161.5
57,03/29/22 02:46:15 PM,19.224,27.648,155.8
58,03/29/22 02:51:15 PM,18.036,28.872,175.5
59,03/29/22 02:56:15 PM,25.236,37.260,210.6
60,03/29/22 03:01:15 PM,19.224,28.872,251.3
61,03/29/22 03:06:15 PM,24.048,37.260,164.3
62,03/29/22 03:11:15 PM,15.624,27.648,228.8
63,03/29/22 03:16:15 PM,20.448,36.072,247.1
64,03/29/22 03:21:15 PM,15.624,30.060,221.8
65,03/29/22 03:26:15 PM,26.460,40.860,304.7
66,03/29/22 03:31:15 PM,28.872,39.672,249.9
67,03/29/22 03:36:15 PM,32.472,42.084,286.4
68,03/29/22 03:41:15 PM,33.660,45.684,259.7
69,03/29/22 03:46:15 PM,34.848,46.872,256.9
70,03/29/22 03:51:15 PM,36.072,49.284,299.0
71,03/29/22 03:56:15 PM,34.848,48.096,251.3
72,03/29/22 04:01:15 PM,40.860,52.884,286.4
73,03/29/22 04:06:15 PM,37.260,46.872,301.8
74,03/29/22 04:11:15 PM,39.672,52.884,307.5
75,03/29/22 04:16:15 PM,39.672,54.108,304.7
76,03/29/22 04:21:15 PM,40.860,54.108,286.4
77,03/29/22 04:26:15 PM,43.272,56.520,320.1
78,03/29/22 04:31:15 PM,45.684,55.296,304.7
79,03/29/22 04:36:15 PM,44.496,56.520,325.7
80,03/29/22 04:41:15 PM,44.496,58.896,301.8
81,03/29/22 04:46:15 PM,44.496,62.532,313.1
82,03/29/22 04:51:15 PM,46.872,58.896,307.5
83,03/29/22 04:56:15 PM,43.272,55.296,322.9
84,03/29/22 05:01:15 PM,48.096,57.708,321.5
85,03/29/22 05:06:15 PM,44.496,61.308,268.1
86,03/29/22 05:11:15 PM,46.872,56.520,324.3
87,03/29/22 05:16:15 PM,44.496,54.108,310.3
88,03/29/22 05:21:15 PM,43.272,57.708,325.7
89,03/29/22 05:26:15 PM,45.684,60.120,317.3
90,03/29/22 05:31:15 PM,45.684,57.708,320.1
91,03/29/22 05:36:15 PM,48.096,60.120,299.0
92,03/29/22 05:41:15 PM,45.684,60.120,318.7
93,03/29/22 05:46:15 PM,45.684,52.884,324.3
94,03/29/22 05:51:15 PM,45.684,55.296,272.4
95,03/29/22 05:56:15 PM,43.272,56.520,320.1
96,03/29/22 06:01:15 PM,45.684,68.544,311.7
97,03/29/22 06:06:15 PM,46.872,58.896,322.9
98,03/29/22 06:11:15 PM,46.872,57.708,318.7
99,03/29/22 06:16:15 PM,44.496,58.896,306.1
100,03/29/22 06:21:15 PM,40.860,55.296,315.9
101,03/29/22 06:26:15 PM,43.272,61.308,318.7
102,03/29/22 06:31:15 PM,44.496,57.708,293.4
103,03/29/22 06:36:15 PM,46.872,56.520,279.4
104,03/29/22 06:41:15 PM,46.872,62.532,234.5
105,03/29/22 06:46:15 PM,45.684,58.896,248.5
106,03/29/22 06:51:15 PM,45.684,55.296,293.4
107,03/29/22 06:56:15 PM,45.684,58.896,306.1
108,03/29/22 07:01:15 PM,43.272,54.108,293.4
109,03/29/22 07:06:15 PM,46.872,58.896,300.4
110,03/29/22 07:11:15 PM,44.496,56.520,300.4
111,03/29/22 07:16:15 PM,40.860,57.708,303.2
112,03/29/22 07:21:15 PM,43.272,61.308,321.5
113,03/29/22 07:26:15 PM,43.272,55.296,331.3
114,03/29/22 07:31:15 PM,42.084,52.884,328.5
115,03/29/22 07:36:15 PM,43.272,54.108,315.9
116,03/29/22 07:41:15 PM,40.860,51.696,307.5
117,03/29/22 07:46:15 PM,37.260,52.884,308.9
118,03/29/22 07:51:15 PM,38.484,51.696,311.7
119,03/29/22 07:56:15 PM,38.484,50.508,324.3
120,03/29/22 08:01:15 PM,40.860,52.884,294.8
121,03/29/22 08:06:15 PM,39.672,49.284,269.6
122,03/29/22 08:11:15 PM,39.672,54.108,297.6
123,03/29/22 08:16:15 PM,34.848,50.508,308.9
124,03/29/22 08:21:15 PM,36.072,46.872,287.8
125,03/29/22 08:26:15 PM,42.084,52.884,289.2
126,03/29/22 08:31:15 PM,38.484,51.696,227.4
127,03/29/22 08:36:15 PM,36.072,50.508,292.0
128,03/29/22 08:41:15 PM,33.660,42.084,297.6
129,03/29/22 08:46:15 PM,33.660,48.096,297.6
130,03/29/22 08:51:15 PM,32.472,42.084,266.7
131,03/29/22 08:56:15 PM,33.660,40.860,255.5
132,03/29/22 09:01:15 PM,31.248,38.484,272.4
133,03/29/22 09:06:15 PM,30.060,42.084,294.8
134,03/29/22 09:11:15 PM,31.248,42.084,181.1
135,03/29/22 09:16:15 PM,26.460,34.848,315.9
136,03/29/22 09:21:15 PM,27.648,33.660,325.7
137,03/29/22 09:26:15 PM,25.236,30.060,327.1
138,03/29/22 09:31:15 PM,30.060,44.496,207.8
139,03/29/22 09:36:15 PM,34.848,42.084,172.7
140,03/29/22 09:41:15 PM,28.872,37.260,179.7
141,03/29/22 09:46:15 PM,25.236,37.260,237.3
142,03/29/22 09:51:15 PM,27.648,32.472,227.4
143,03/29/22 09:56:15 PM,25.236,32.472,336.9
144,03/29/22 10:01:15 PM,25.236,32.472,7.0
145,03/29/22 10:06:15 PM,24.048,30.060,7.0
146,03/29/22 10:11:15 PM,25.236,31.248,355.2
147,03/29/22 10:16:15 PM,22.860,31.248,308.9
148,03/29/22 10:21:15 PM,13.212,21.636,328.5
149,03/29/22 10:26:15 PM,16.848,19.224,345.4
150,03/29/22 10:31:15 PM,18.036,22.860,341.2
151,03/29/22 10:36:15 PM,19.224,21.636,285.0
152,03/29/22 10:41:15 PM,16.848,21.636,286.4
153,03/29/22 10:46:15 PM,19.224,22.860,269.6
154,03/29/22 10:51:15 PM,19.224,24.048,276.6
155,03/29/22 10:56:15 PM,26.460,36.072,219.0
156,03/29/22 11:01:15 PM,24.048,30.060,196.5
157,03/29/22 11:06:15 PM,20.448,28.872,207.8
158,03/29/22 11:11:15 PM,19.224,24.048,213.4
159,03/29/22 11:16:15 PM,18.036,24.048,339.7
160,03/29/22 11:21:15 PM,15.624,18.036,5.6
161,03/29/22 11:26:15 PM,16.848,19.224,30.9
162,03/29/22 11:31:15 PM,14.436,18.036,35.1
163,03/29/22 11:36:15 PM,16.848,20.448,29.5
164,03/29/22 11:41:15 PM,16.848,19.224,25.3
165,03/29/22 11:46:15 PM,14.436,20.448,18.3
166,03/29/22 11:51:15 PM,14.436,19.224,92.7
167,03/29/22 11:56:15 PM,15.624,19.224,91.3
168,03/30/22 12:01:15 AM,12.024,18.036,351.0
169,03/30/22 12:06:15 AM,7.200,10.836,355.2
170,03/30/22 12:11:15 AM,4.824,10.836,325.7
171,03/30/22 12:16:15 AM,3.600,8.424,301.8
172,03/30/22 12:21:15 AM,3.600,7.200,32.3
173,03/30/22 12:26:15 AM,8.424,14.436,162.9
174,03/30/22 12:31:15 AM,8.424,13.212,147.4
175,03/30/22 12:36:15 AM,12.024,16.848,30.9
176,03/30/22 12:41:15 AM,9.612,12.024,49.1
177,03/30/22 12:46:15 AM,8.424,10.836,46.3
178,03/30/22 12:51:15 AM,8.424,12.024,14.0
179,03/30/22 12:56:15 AM,9.612,12.024,23.9
180,03/30/22 01:01:15 AM,13.212,15.624,35.1
181,03/30/22 01:06:15 AM,13.212,14.436,14.0
182,03/30/22 01:11:15 AM,12.024,15.624,26.7
183,03/30/22 01:16:15 AM,13.212,16.848,42.1
184,03/30/22 01:21:15 AM,14.436,16.848,25.3
185,03/30/22 01:26:15 AM,12.024,13.212,33.7
186,03/30/22 01:31:15 AM,15.624,19.224,15.4
187,03/30/22 01:36:15 AM,16.848,20.448,25.3
188,03/30/22 01:41:15 AM,19.224,22.860,355.2
189,03/30/22 01:46:15 AM,21.636,25.236,355.2
190,03/30/22 01:51:15 AM,18.036,22.860,12.6
191,03/30/22 01:56:15 AM,18.036,20.448,19.7
192,03/30/22 02:01:15 AM,18.036,20.448,28.1
193,03/30/22 02:06:15 AM,16.848,20.448,35.1
194,03/30/22 02:11:15 AM,19.224,21.636,26.7
195,03/30/22 02:16:15 AM,19.224,22.860,25.3
196,03/30/22 02:21:15 AM,18.036,22.860,39.3
197,03/30/22 02:26:15 AM,16.848,21.636,36.5
198,03/30/22 02:31:15 AM,15.624,21.636,43.5
199,03/30/22 02:36:15 AM,16.848,19.224,39.3
200,03/30/22 02:41:15 AM,16.848,20.448,30.9
201,03/30/22 02:46:15 AM,18.036,20.448,35.1
202,03/30/22 02:51:15 AM,18.036,20.448,40.7
203,03/30/22 02:56:15 AM,16.848,19.224,36.5
204,03/30/22 03:01:15 AM,16.848,20.448,28.1
205,03/30/22 03:06:15 AM,15.624,16.848,61.8
206,03/30/22 03:11:15 AM,16.848,19.224,47.7
207,03/30/22 03:16:15 AM,16.848,19.224,49.1
208,03/30/22 03:21:15 AM,18.036,19.224,29.5
209,03/30/22 03:26:15 AM,18.036,19.224,25.3
210,03/30/22 03:31:15 AM,18.036,20.448,47.7
211,03/30/22 03:36:15 AM,18.036,20.448,57.6
212,03/30/22 03:41:15 AM,16.848,19.224,75.8
213,03/30/22 03:46:15 AM,13.212,15.624,39.3
214,03/30/22 03:51:15 AM,12.024,13.212,8.4
215,03/30/22 03:56:15 AM,10.836,13.212,7.0
216,03/30/22 04:01:15 AM,3.600,7.200,73.0
217,03/30/22 04:06:15 AM,0.000,1.188,81.4
218,03/30/22 04:11:15 AM,3.600,10.836,63.2
219,03/30/22 04:16:15 AM,7.200,9.612,0.0
220,03/30/22 04:21:15 AM,9.612,14.436,282.2
221,03/30/22 04:26:15 AM,9.612,12.024,292.0
222,03/30/22 04:31:15 AM,8.424,10.836,190.9
223,03/30/22 04:36:15 AM,9.612,14.436,294.8
224,03/30/22 04:41:15 AM,10.836,13.212,290.6
225,03/30/22 04:46:15 AM,6.012,9.612,296.2
226,03/30/22 04:51:15 AM,4.824,7.200,289.2
227,03/30/22 04:56:15 AM,1.188,4.824,254.1
228,03/30/22 05:01:15 AM,3.600,7.200,297.6
229,03/30/22 05:06:15 AM,3.600,7.200,308.9
230,03/30/22 05:11:15 AM,4.824,7.200,289.2
231,03/30/22 05:16:15 AM,7.200,9.612,306.1
232,03/30/22 05:21:15 AM,4.824,7.200,310.3
233,03/30/22 05:26:15 AM,4.824,8.424,310.3
234,03/30/22 05:31:15 AM,8.424,9.612,310.3
235,03/30/22 05:36:15 AM,9.612,10.836,310.3
236,03/30/22 05:41:15 AM,8.424,10.836,308.9
237,03/30/22 05:46:15 AM,6.012,9.612,311.7
238,03/30/22 05:51:15 AM,4.824,8.424,306.1
239,03/30/22 05:56:15 AM,1.188,3.600,311.7
240,03/30/22 06:01:15 AM,4.824,8.424,308.9
241,03/30/22 06:06:15 AM,2.412,6.012,314.5
242,03/30/22 06:11:15 AM,2.412,4.824,313.1
243,03/30/22 06:16:15 AM,2.412,7.200,313.1
244,03/30/22 06:21:15 AM,6.012,10.836,315.9
245,03/30/22 06:26:15 AM,7.200,10.836,256.9
246,03/30/22 06:31:15 AM,4.824,12.024,28.1
247,03/30/22 06:36:15 AM,6.012,9.612,33.7
248,03/30/22 06:41:15 AM,7.200,10.836,67.4
249,03/30/22 06:46:15 AM,4.824,15.624,49.1
250,03/30/22 06:51:15 AM,3.600,8.424,84.2
251,03/30/22 06:56:15 AM,6.012,10.836,190.9
252,03/30/22 07:01:15 AM,1.188,8.424,226.0
253,03/30/22 07:06:15 AM,4.824,8.424,227.4
254,03/30/22 07:11:15 AM,2.412,12.024,226.0
255,03/30/22 07:16:15 AM,6.012,10.836,231.6
256,03/30/22 07:21:15 AM,3.600,6.012,228.8
257,03/30/22 07:26:15 AM,4.824,7.200,228.8
258,03/30/22 07:31:15 AM,2.412,3.600,233.1
259,03/30/22 07:36:15 AM,2.412,8.424,234.5
260,03/30/22 07:41:15 AM,4.824,8.424,233.1
261,03/30/22 07:46:15 AM,2.412,7.200,235.9
262,03/30/22 07:51:15 AM,1.188,2.412,242.9
263,03/30/22 07:56:15 AM,2.412,6.012,221.8
264,03/30/22 08:01:15 AM,2.412,4.824,219.0
265,03/30/22 08:06:15 AM,3.600,8.424,235.9
266,03/30/22 08:11:15 AM,0.000,3.600,238.7
267,03/30/22 08:16:15 AM,1.188,3.600,234.5
268,03/30/22 08:21:15 AM,6.012,9.612,237.3
269,03/30/22 08:26:15 AM,2.412,7.200,237.3
270,03/30/22 08:31:15 AM,2.412,4.824,237.3
271,03/30/22 08:36:15 AM,2.412,4.824,237.3
272,03/30/22 08:41:15 AM,4.824,7.200,237.3
273,03/30/22 08:46:15 AM,8.424,12.024,217.6
274,03/30/22 08:51:15 AM,8.424,14.436,162.9
275,03/30/22 08:56:15 AM,4.824,10.836,94.1
276,03/30/22 09:01:15 AM,2.412,6.012,132.0
277,03/30/22 09:06:15 AM,4.824,7.200,99.7
278,03/30/22 09:11:15 AM,4.824,8.424,117.9
279,03/30/22 09:16:15 AM,6.012,8.424,103.9
280,03/30/22 09:21:15 AM,3.600,7.200,108.1
281,03/30/22 09:26:15 AM,3.600,6.012,127.8
282,03/30/22 09:31:15 AM,4.824,9.612,127.8
283,03/30/22 09:36:15 AM,6.012,10.836,127.8
284,03/30/22 09:41:15 AM,6.012,8.424,153.0
285,03/30/22 09:46:15 AM,3.600,7.200,157.2
286,03/30/22 09:51:15 AM,4.824,7.200,136.2
287,03/30/22 09:56:15 AM,3.600,7.200,140.4
288,03/30/22 10:01:15 AM,4.824,8.424,134.8
289,03/30/22 10:06:15 AM,4.824,8.424,144.6
290,03/30/22 10:11:15 AM,6.012,10.836,134.8
291,03/30/22 10:16:15 AM,7.200,13.212,151.6
292,03/30/22 10:21:15 AM,8.424,14.436,154.4
293,03/30/22 10:26:15 AM,6.012,9.612,158.6
294,03/30/22 10:31:15 AM,7.200,13.212,164.3
295,03/30/22 10:36:15 AM,8.424,12.024,129.2
296,03/30/22 10:41:15 AM,8.424,12.024,148.8
297,03/30/22 10:46:15 AM,6.012,9.612,164.3
298,03/30/22 10:51:15 AM,8.424,14.436,154.4
299,03/30/22 10:56:15 AM,8.424,14.436,141.8
