T�tulo de trazado: 20682650,,,,
N.�,Fecha,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de R�fagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Direcci�n del viento. � (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
1,03/11/19 09:38:13,299.376,91.368,205
2,03/11/19 09:39:13,24.048,31.248,346.8
3,03/11/19 09:40:13,25.236,34.848,346.8
4,03/11/19 09:41:13,30.06,36.072,339.7
5,03/11/19 09:42:13,33.66,52.884,342.6
6,03/11/19 09:43:13,14.436,27.648,317.3
7,03/11/19 09:44:13,14.436,24.048,325.7
8,03/11/19 09:45:13,15.624,19.224,325.7
9,03/11/19 09:46:13,16.848,18.036,346.8
10,03/11/19 09:47:13,14.436,21.636,345.4
11,03/11/19 09:48:13,16.848,24.048,40.7
12,03/11/19 09:49:13,13.212,15.624,0
13,03/11/19 09:50:13,16.848,19.224,5.6
14,03/11/19 09:51:13,12.024,19.224,4.2
15,03/11/19 09:52:13,7.2,9.612,53.3
16,03/11/19 09:53:13,7.2,10.836,82.8
17,03/11/19 09:54:13,7.2,12.024,85.6
18,03/11/19 09:55:13,2.412,3.6,36.5
19,03/11/19 09:56:13,6.012,8.424,137.6
20,03/11/19 09:57:13,7.2,9.612,206.4
21,03/11/19 09:58:13,7.2,9.612,259.7
22,03/11/19 09:59:13,7.2,9.612,22.5
23,03/11/19 10:00:13,4.824,6.012,57.6
24,03/11/19 10:01:13,7.2,10.836,151.6
25,03/11/19 10:02:13,9.612,13.212,150.2
26,03/11/19 10:03:13,7.2,10.836,172.7
27,03/11/19 10:04:13,4.824,7.2,160
28,03/11/19 10:05:13,3.6,6.012,181.1
29,03/11/19 10:06:13,8.424,16.848,103.9
30,03/11/19 10:07:13,9.612,15.624,89.9
31,03/11/19 10:08:13,8.424,10.836,61.8
32,03/11/19 10:09:13,12.024,18.036,110.9
33,03/11/19 10:10:13,9.612,14.436,137.6
34,03/11/19 10:11:13,7.2,12.024,209.2
35,03/11/19 10:12:13,10.836,20.448,140.4
36,03/11/19 10:13:13,4.824,8.424,91.3
37,03/11/19 10:14:13,8.424,12.024,77.2
38,03/11/19 10:15:13,7.2,12.024,96.9
39,03/11/19 10:16:13,3.6,7.2,87
40,03/11/19 10:17:13,2.412,7.2,108.1
41,03/11/19 10:18:13,4.824,8.424,150.2
42,03/11/19 10:19:13,0,1.188,146
43,03/11/19 10:20:13,0,1.188,146
44,03/11/19 10:21:13,7.2,10.836,136.2
45,03/11/19 10:22:13,4.824,7.2,137.6
46,03/11/19 10:23:13,4.824,8.424,106.7
47,03/11/19 10:24:13,4.824,7.2,61.8
48,03/11/19 10:25:13,4.824,7.2,35.1
49,03/11/19 10:26:13,6.012,9.612,39.3
50,03/11/19 10:27:13,3.6,6.012,37.9
51,03/11/19 10:28:13,2.412,4.824,35.1
52,03/11/19 10:29:13,3.6,4.824,331.3
53,03/11/19 10:30:13,7.2,8.424,321.5
54,03/11/19 10:31:13,7.2,12.024,329.9
55,03/11/19 10:32:13,7.2,8.424,1.4
56,03/11/19 10:33:13,6.012,9.612,306.1
57,03/11/19 10:34:13,12.024,18.036,355.2
58,03/11/19 10:35:13,12.024,16.848,9.8
59,03/11/19 10:36:13,9.612,14.436,54.8
60,03/11/19 10:37:13,7.2,13.212,14
61,03/11/19 10:38:13,10.836,15.624,7
62,03/11/19 10:39:13,8.424,16.848,14
63,03/11/19 10:40:13,9.612,14.436,14
64,03/11/19 10:41:13,6.012,15.624,332.7
65,03/11/19 10:42:13,9.612,14.436,313.1
66,03/11/19 10:43:13,4.824,7.2,307.5
67,03/11/19 10:44:13,6.012,12.024,70.2
68,03/11/19 10:45:13,13.212,18.036,47.7
69,03/11/19 10:46:13,9.612,13.212,63.2
70,03/11/19 10:47:13,9.612,12.024,68.8
71,03/11/19 10:48:13,12.024,14.436,61.8
72,03/11/19 10:49:13,9.612,16.848,36.5
73,03/11/19 10:50:13,6.012,15.624,11.2
74,03/11/19 10:51:13,7.2,13.212,54.8
75,03/11/19 10:52:13,7.2,13.212,80
76,03/11/19 10:53:13,1.188,6.012,29.5
77,03/11/19 10:54:13,2.412,4.824,231.6
78,03/11/19 10:55:13,2.412,6.012,185.3
79,03/11/19 10:56:13,4.824,6.012,115.1
80,03/11/19 10:57:13,3.6,10.836,129.2
81,03/11/19 10:58:13,6.012,8.424,89.9
82,03/11/19 10:59:13,4.824,8.424,78.6
83,03/11/19 11:00:13,3.6,6.012,123.5
84,03/11/19 11:01:13,6.012,8.424,129.2
85,03/11/19 11:02:13,6.012,8.424,146
86,03/11/19 11:03:13,6.012,13.212,124.9
87,03/11/19 11:04:13,12.024,15.624,91.3
88,03/11/19 11:05:13,13.212,15.624,80
89,03/11/19 11:06:13,9.612,14.436,81.4
90,03/11/19 11:07:13,10.836,14.436,102.5
91,03/11/19 11:08:13,9.612,12.024,102.5
92,03/11/19 11:09:13,10.836,18.036,87
93,03/11/19 11:10:13,16.848,19.224,60.4
94,03/11/19 11:11:13,13.212,15.624,61.8
95,03/11/19 11:12:13,9.612,15.624,77.2
96,03/11/19 11:13:13,10.836,15.624,74.4
97,03/11/19 11:14:13,9.612,13.212,8.4
98,03/11/19 11:15:13,10.836,21.636,22.5
99,03/11/19 11:16:13,13.212,28.872,57.6
100,03/11/19 11:17:13,2.412,4.824,110.9
101,03/11/19 11:18:13,4.824,8.424,164.3
102,03/11/19 11:19:13,7.2,9.612,195.1
103,03/11/19 11:20:13,7.2,8.424,203.6
104,03/11/19 11:21:13,8.424,14.436,157.2
105,03/11/19 11:22:13,12.024,15.624,129.2
106,03/11/19 11:23:13,6.012,9.612,150.2
107,03/11/19 11:24:13,7.2,12.024,122.1
108,03/11/19 11:25:13,4.824,9.612,151.6
109,03/11/19 11:26:13,4.824,7.2,176.9
110,03/11/19 11:27:13,7.2,12.024,123.5
111,03/11/19 11:28:13,8.424,18.036,80
112,03/11/19 11:29:13,18.036,28.872,63.2
113,03/11/19 11:30:13,18.036,24.048,81.4
114,03/11/19 11:31:13,16.848,24.048,66
115,03/11/19 11:32:13,25.236,28.872,63.2
116,03/11/19 11:33:13,18.036,21.636,54.8
117,03/11/19 11:34:13,19.224,25.236,43.5
118,03/11/19 11:35:13,21.636,26.46,53.3
119,03/11/19 11:36:13,15.624,20.448,81.4
120,03/11/19 11:37:13,12.024,18.036,70.2
121,03/11/19 11:38:13,7.2,9.612,67.4
122,03/11/19 11:39:13,7.2,9.612,54.8
123,03/11/19 11:40:13,6.012,19.224,348.2
124,03/11/19 11:41:13,13.212,18.036,310.3
125,03/11/19 11:42:13,12.024,16.848,303.2
126,03/11/19 11:43:13,8.424,13.212,307.5
127,03/11/19 11:44:13,6.012,9.612,1.4
128,03/11/19 11:45:13,7.2,9.612,273.8
129,03/11/19 11:46:13,8.424,14.436,276.6
130,03/11/19 11:47:13,12.024,16.848,299
131,03/11/19 11:48:13,12.024,21.636,272.4
132,03/11/19 11:49:13,19.224,22.86,293.4
133,03/11/19 11:50:13,18.036,25.236,282.2
134,03/11/19 11:51:13,21.636,27.648,306.1
135,03/11/19 11:52:13,25.236,31.248,304.7
136,03/11/19 11:53:13,20.448,30.06,320.1
137,03/11/19 11:54:13,25.236,31.248,299
138,03/11/19 11:55:13,22.86,28.872,339.7
139,03/11/19 11:56:13,13.212,16.848,346.8
140,03/11/19 11:57:13,7.2,9.612,308.9
141,03/11/19 11:58:13,4.824,8.424,332.7
142,03/11/19 11:59:13,6.012,7.2,325.7
143,03/11/19 12:00:13,7.2,14.436,299
144,03/11/19 12:01:13,14.436,19.224,353.8
145,03/11/19 12:02:13,18.036,27.648,348.2
146,03/11/19 12:03:13,14.436,18.036,18.3
147,03/11/19 12:04:13,9.612,15.624,336.9
148,03/11/19 12:05:13,13.212,19.224,268.1
149,03/11/19 12:06:13,12.024,18.036,271
150,03/11/19 12:07:13,14.436,21.636,300.4
151,03/11/19 12:08:13,22.86,33.66,332.7
152,03/11/19 12:09:13,31.248,34.848,335.5
153,03/11/19 12:10:13,34.848,42.084,345.4
154,03/11/19 12:11:13,24.048,30.06,353.8
155,03/11/19 12:12:13,16.848,21.636,1.4
156,03/11/19 12:13:13,28.872,36.072,346.8
157,03/11/19 12:14:13,22.86,31.248,341.2
158,03/11/19 12:15:13,22.86,30.06,352.4
159,03/11/19 12:16:13,20.448,27.648,338.3
160,03/11/19 12:17:13,24.048,32.472,349.6
161,03/11/19 12:18:13,20.448,28.872,341.2
162,03/11/19 12:19:13,21.636,30.06,348.2
163,03/11/19 12:20:13,26.46,37.26,328.5
164,03/11/19 12:21:13,31.248,42.084,324.3
165,03/11/19 12:22:13,37.26,48.096,352.4
166,03/11/19 12:23:13,31.248,38.484,1.4
167,03/11/19 12:24:13,37.26,45.684,331.3
168,03/11/19 12:25:13,38.484,48.096,325.7
169,03/11/19 12:26:13,38.484,42.084,324.3
170,03/11/19 12:27:13,33.66,39.672,321.5
171,03/11/19 12:28:13,31.248,39.672,304.7
172,03/11/19 12:29:13,25.236,34.848,314.5
173,03/11/19 12:30:13,20.448,31.248,313.1
174,03/11/19 12:31:13,19.224,22.86,310.3
175,03/11/19 12:32:13,10.836,21.636,342.6
176,03/11/19 12:33:13,14.436,20.448,315.9
177,03/11/19 12:34:13,30.06,37.26,342.6
178,03/11/19 12:35:13,32.472,52.884,331.3
179,03/11/19 12:36:13,33.66,38.484,344
180,03/11/19 12:37:13,30.06,42.084,351
181,03/11/19 12:38:13,24.048,31.248,355.2
182,03/11/19 12:39:13,31.248,39.672,336.9
183,03/11/19 12:40:13,40.86,55.296,336.9
184,03/11/19 12:41:13,38.484,54.108,339.7
185,03/11/19 12:42:13,36.072,39.672,320.1
186,03/11/19 12:43:13,32.472,39.672,320.1
187,03/11/19 12:44:13,38.484,46.872,325.7
188,03/11/19 12:45:13,37.26,44.496,313.1
189,03/11/19 12:46:13,33.66,38.484,321.5
190,03/11/19 12:47:13,42.084,58.896,335.5
191,03/11/19 12:48:13,38.484,49.284,331.3
192,03/11/19 12:49:13,37.26,46.872,335.5
193,03/11/19 12:50:13,34.848,40.86,329.9
194,03/11/19 12:51:13,32.472,44.496,322.9
195,03/11/19 12:52:13,42.084,49.284,317.3
196,03/11/19 12:53:13,37.26,39.672,315.9
197,03/11/19 12:54:13,39.672,48.096,331.3
198,03/11/19 12:55:13,39.672,49.284,344
199,03/11/19 12:56:13,34.848,51.696,341.2
200,03/11/19 12:57:13,33.66,42.084,322.9
201,03/11/19 12:58:13,38.484,50.508,329.9
202,03/11/19 12:59:13,34.848,39.672,335.5
203,03/11/19 13:00:13,32.472,42.084,324.3
204,03/11/19 13:01:13,36.072,43.272,315.9
205,03/11/19 13:02:13,31.248,38.484,324.3
206,03/11/19 13:03:13,34.848,38.484,325.7
207,03/11/19 13:04:13,34.848,49.284,328.5
208,03/11/19 13:05:13,34.848,48.096,331.3
209,03/11/19 13:06:13,24.048,31.248,332.7
210,03/11/19 13:07:13,30.06,40.86,314.5
211,03/11/19 13:08:13,31.248,49.284,313.1
212,03/11/19 13:09:13,27.648,34.848,318.7
213,03/11/19 13:10:13,33.66,42.084,311.7
214,03/11/19 13:11:13,38.484,48.096,318.7
215,03/11/19 13:12:13,44.496,56.52,308.9
216,03/11/19 13:13:13,37.26,49.284,318.7
217,03/11/19 13:14:13,37.26,46.872,321.5
218,03/11/19 13:15:13,38.484,45.684,331.3
219,03/11/19 13:16:13,38.484,50.508,321.5
220,03/11/19 13:17:13,36.072,43.272,320.1
221,03/11/19 13:18:13,33.66,44.496,322.9
222,03/11/19 13:19:13,39.672,50.508,327.1
223,03/11/19 13:20:13,33.66,38.484,315.9
224,03/11/19 13:21:13,27.648,36.072,317.3
225,03/11/19 13:22:13,37.26,44.496,331.3
226,03/11/19 13:23:13,37.26,49.284,322.9
227,03/11/19 13:24:13,37.26,42.084,348.2
228,03/11/19 13:25:13,34.848,44.496,332.7
229,03/11/19 13:26:13,42.084,49.284,311.7
230,03/11/19 13:27:13,33.66,39.672,311.7
231,03/11/19 13:28:13,38.484,46.872,320.1
232,03/11/19 13:29:13,38.484,45.684,314.5
233,03/11/19 13:30:13,31.248,37.26,317.3
234,03/11/19 13:31:13,30.06,36.072,334.1
235,03/11/19 13:32:13,34.848,38.484,331.3
236,03/11/19 13:33:13,33.66,40.86,331.3
237,03/11/19 13:34:13,32.472,40.86,334.1
238,03/11/19 13:35:13,34.848,40.86,322.9
239,03/11/19 13:36:13,34.848,43.272,335.5
240,03/11/19 13:37:13,36.072,45.684,331.3
241,03/11/19 13:38:13,39.672,50.508,324.3
242,03/11/19 13:39:13,31.248,37.26,321.5
243,03/11/19 13:40:13,33.66,40.86,313.1
244,03/11/19 13:41:13,37.26,50.508,328.5
245,03/11/19 13:42:13,36.072,46.872,324.3
246,03/11/19 13:43:13,34.848,44.496,299
247,03/11/19 13:44:13,39.672,49.284,294.8
248,03/11/19 13:45:13,38.484,45.684,300.4
249,03/11/19 13:46:13,37.26,46.872,297.6
250,03/11/19 13:47:13,32.472,39.672,299
251,03/11/19 13:48:13,33.66,45.684,317.3
252,03/11/19 13:49:13,30.06,42.084,321.5
253,03/11/19 13:50:13,27.648,32.472,307.5
254,03/11/19 13:51:13,31.248,39.672,297.6
255,03/11/19 13:52:13,32.472,40.86,320.1
256,03/11/19 13:53:13,38.484,51.696,311.7
257,03/11/19 13:54:13,52.884,62.532,327.1
258,03/11/19 13:55:13,37.26,51.696,9.8
259,03/11/19 13:56:13,25.236,31.248,2.8
260,03/11/19 13:57:13,28.872,36.072,19.7
261,03/11/19 13:58:13,19.224,24.048,1.4
262,03/11/19 13:59:13,19.224,32.472,348.2
263,03/11/19 14:00:13,28.872,36.072,355.2
264,03/11/19 14:01:13,25.236,34.848,346.8
265,03/11/19 14:02:13,27.648,34.848,336.9
266,03/11/19 14:03:13,31.248,40.86,324.3
267,03/11/19 14:04:13,39.672,51.696,321.5
268,03/11/19 14:05:13,30.06,36.072,320.1
269,03/11/19 14:06:13,31.248,39.672,327.1
270,03/11/19 14:07:13,33.66,37.26,331.3
271,03/11/19 14:08:13,33.66,44.496,308.9
272,03/11/19 14:09:13,33.66,39.672,313.1
273,03/11/19 14:10:13,32.472,40.86,318.7
274,03/11/19 14:11:13,25.236,31.248,301.8
275,03/11/19 14:12:13,27.648,32.472,301.8
276,03/11/19 14:13:13,33.66,40.86,327.1
277,03/11/19 14:14:13,32.472,39.672,331.3
278,03/11/19 14:15:13,31.248,38.484,310.3
279,03/11/19 14:16:13,31.248,38.484,303.2
280,03/11/19 14:17:13,28.872,42.084,308.9
281,03/11/19 14:18:13,31.248,43.272,290.6
282,03/11/19 14:19:13,33.66,45.684,287.8
283,03/11/19 14:20:13,24.048,33.66,321.5
284,03/11/19 14:21:13,24.048,39.672,315.9
285,03/11/19 14:22:13,21.636,33.66,308.9
286,03/11/19 14:23:13,28.872,36.072,318.7
287,03/11/19 14:24:13,31.248,40.86,318.7
288,03/11/19 14:25:13,32.472,39.672,318.7
289,03/11/19 14:26:13,28.872,36.072,336.9
290,03/11/19 14:27:13,26.46,42.084,331.3
291,03/11/19 14:28:13,37.26,43.272,322.9
292,03/11/19 14:29:13,30.06,32.472,320.1
293,03/11/19 14:30:13,33.66,39.672,321.5
294,03/11/19 14:31:13,31.248,38.484,308.9
295,03/11/19 14:32:13,32.472,38.484,303.2
296,03/11/19 14:33:13,32.472,44.496,299
297,03/11/19 14:34:13,37.26,45.684,315.9
298,03/11/19 14:35:13,38.484,45.684,318.7
299,03/11/19 14:36:13,31.248,36.072,313.1
300,03/11/19 14:37:13,39.672,45.684,321.5
301,03/11/19 14:38:13,37.26,42.084,308.9
302,03/11/19 14:39:13,34.848,39.672,308.9
303,03/11/19 14:40:13,24.048,31.248,292
304,03/11/19 14:41:13,31.248,42.084,297.6
305,03/11/19 14:42:13,42.084,51.696,322.9
306,03/11/19 14:43:13,31.248,42.084,322.9
307,03/11/19 14:44:13,34.848,46.872,318.7
308,03/11/19 14:45:13,32.472,37.26,317.3
309,03/11/19 14:46:13,34.848,43.272,314.5
310,03/11/19 14:47:13,38.484,46.872,317.3
311,03/11/19 14:48:13,38.484,46.872,304.7
312,03/11/19 14:49:13,34.848,40.86,315.9
313,03/11/19 14:50:13,32.472,39.672,299
314,03/11/19 14:51:13,30.06,40.86,304.7
315,03/11/19 14:52:13,37.26,44.496,318.7
316,03/11/19 14:53:13,34.848,39.672,308.9
317,03/11/19 14:54:13,28.872,46.872,301.8
