T�tulo de trazado:  E1,,,,T�tulo
N.�,Fecha Tiempo, GMT-03:00,Velocidad del viento, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h),Velocidad de R�fagas, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h),Direcci�n del viento, � (LGR S/N: 20682650, SEN S/N: 20679483, LBL: N-S)
1,06/8/21 18:11:24,44.496,50.508,341.2
2,06/8/21 18:12:24,43.272,50.508,334.1
3,06/8/21 18:13:24,42.084,50.508,334.1
4,06/8/21 18:14:24,44.496,51.696,338.3
5,06/8/21 18:15:24,42.084,45.684,332.7
6,06/8/21 18:16:24,43.272,50.508,327.1
7,06/8/21 18:17:24,42.084,48.096,334.1
8,06/8/21 18:18:24,42.084,48.096,332.7
9,06/8/21 18:19:24,48.096,55.296,331.3
10,06/8/21 18:20:24,44.496,50.508,328.5
11,06/8/21 18:21:24,45.684,50.508,332.7
12,06/8/21 18:22:24,43.272,50.508,334.1
13,06/8/21 18:23:24,43.272,52.884,324.3
14,06/8/21 18:24:24,45.684,52.884,324.3
15,06/8/21 18:25:24,38.484,45.684,325.7
16,06/8/21 18:26:24,42.084,46.872,324.3
17,06/8/21 18:27:24,39.672,51.696,328.5
18,06/8/21 18:28:24,44.496,50.508,328.5
19,06/8/21 18:29:24,43.272,51.696,328.5
20,06/8/21 18:30:24,37.260,40.860,335.5
21,06/8/21 18:31:24,39.672,45.684,338.3
22,06/8/21 18:32:24,43.272,50.508,334.1
23,06/8/21 18:33:24,44.496,52.884,327.1
24,06/8/21 18:34:24,38.484,42.084,331.3
25,06/8/21 18:35:24,36.072,42.084,332.7
26,06/8/21 18:36:24,37.260,40.860,341.2
27,06/8/21 18:37:24,38.484,46.872,331.3
28,06/8/21 18:38:24,39.672,44.496,336.9
29,06/8/21 18:39:24,39.672,46.872,339.7
30,06/8/21 18:40:24,37.260,40.860,336.9
31,06/8/21 18:41:24,39.672,43.272,329.9
32,06/8/21 18:42:24,39.672,45.684,329.9
33,06/8/21 18:43:24,33.660,37.260,331.3
34,06/8/21 18:44:24,36.072,40.860,332.7
35,06/8/21 18:45:24,34.848,40.860,322.9
36,06/8/21 18:46:24,37.260,44.496,324.3
37,06/8/21 18:47:24,37.260,44.496,322.9
38,06/8/21 18:48:24,36.072,40.860,328.5
39,06/8/21 18:49:24,36.072,39.672,328.5
40,06/8/21 18:50:24,37.260,44.496,336.9
41,06/8/21 18:51:24,37.260,45.684,329.9
42,06/8/21 18:52:24,40.860,45.684,327.1
43,06/8/21 18:53:24,38.484,43.272,325.7
44,06/8/21 18:54:24,38.484,44.496,325.7
45,06/8/21 18:55:24,33.660,40.860,328.5
46,06/8/21 18:56:24,36.072,46.872,328.5
47,06/8/21 18:57:24,33.660,43.272,329.9
48,06/8/21 18:58:24,33.660,40.860,329.9
49,06/8/21 18:59:24,34.848,39.672,335.5
50,06/8/21 19:00:24,33.660,39.672,329.9
51,06/8/21 19:01:24,38.484,46.872,336.9
52,06/8/21 19:02:24,38.484,44.496,334.1
53,06/8/21 19:03:24,45.684,49.284,325.7
54,06/8/21 19:04:24,46.872,52.884,325.7
55,06/8/21 19:05:24,46.872,51.696,331.3
56,06/8/21 19:06:24,45.684,56.520,325.7
57,06/8/21 19:07:24,45.684,51.696,328.5
58,06/8/21 19:08:24,45.684,50.508,324.3
59,06/8/21 19:09:24,49.284,52.884,324.3
60,06/8/21 19:10:24,49.284,55.296,328.5
61,06/8/21 19:11:24,45.684,54.108,331.3
62,06/8/21 19:12:24,46.872,51.696,331.3
63,06/8/21 19:13:24,44.496,52.884,327.1
64,06/8/21 19:14:24,45.684,54.108,328.5
65,06/8/21 19:15:24,46.872,52.884,329.9
66,06/8/21 19:16:24,45.684,51.696,324.3
67,06/8/21 19:17:24,44.496,52.884,325.7
68,06/8/21 19:18:24,46.872,55.296,329.9
69,06/8/21 19:19:24,42.084,48.096,329.9
70,06/8/21 19:20:24,38.484,45.684,331.3
71,06/8/21 19:21:24,37.260,45.684,329.9
72,06/8/21 19:22:24,39.672,46.872,328.5
73,06/8/21 19:23:24,37.260,44.496,334.1
74,06/8/21 19:24:24,36.072,39.672,334.1
75,06/8/21 19:25:24,40.860,49.284,344.0
76,06/8/21 19:26:24,40.860,46.872,342.6
77,06/8/21 19:27:24,38.484,44.496,338.3
78,06/8/21 19:28:24,38.484,43.272,332.7
79,06/8/21 19:29:24,36.072,42.084,341.2
80,06/8/21 19:30:24,32.472,36.072,341.2
81,06/8/21 19:31:24,34.848,43.272,336.9
82,06/8/21 19:32:24,38.484,42.084,352.4
83,06/8/21 19:33:24,39.672,46.872,346.8
84,06/8/21 19:34:24,38.484,44.496,342.6
85,06/8/21 19:35:24,38.484,43.272,346.8
86,06/8/21 19:36:24,37.260,40.860,342.6
87,06/8/21 19:37:24,34.848,40.860,344.0
88,06/8/21 19:38:24,37.260,44.496,336.9
89,06/8/21 19:39:24,43.272,49.284,335.5
90,06/8/21 19:40:24,37.260,42.084,334.1
91,06/8/21 19:41:24,34.848,39.672,335.5
92,06/8/21 19:42:24,36.072,40.860,331.3
93,06/8/21 19:43:24,43.272,50.508,327.1
94,06/8/21 19:44:24,45.684,51.696,318.7
95,06/8/21 19:45:24,39.672,46.872,318.7
96,06/8/21 19:46:24,36.072,46.872,324.3
97,06/8/21 19:47:24,37.260,43.272,318.7
98,06/8/21 19:48:24,39.672,50.508,315.9
99,06/8/21 19:49:24,34.848,42.084,315.9
100,06/8/21 19:50:24,37.260,46.872,318.7
101,06/8/21 19:51:24,33.660,39.672,320.1
102,06/8/21 19:52:24,38.484,44.496,318.7
103,06/8/21 19:53:24,34.848,38.484,325.7
104,06/8/21 19:54:24,38.484,57.708,325.7
105,06/8/21 19:55:24,33.660,37.260,318.7
106,06/8/21 19:56:24,34.848,43.272,334.1
107,06/8/21 19:57:24,39.672,46.872,335.5
108,06/8/21 19:58:24,34.848,39.672,328.5
109,06/8/21 19:59:24,31.248,34.848,334.1
110,06/8/21 20:00:24,34.848,42.084,341.2
111,06/8/21 20:01:24,40.860,49.284,339.7
112,06/8/21 20:02:24,42.084,49.284,336.9
113,06/8/21 20:03:24,36.072,42.084,329.9
114,06/8/21 20:04:24,39.672,45.684,339.7
115,06/8/21 20:05:24,42.084,46.872,342.6
116,06/8/21 20:06:24,37.260,42.084,334.1
117,06/8/21 20:07:24,38.484,42.084,335.5
118,06/8/21 20:08:24,42.084,48.096,352.4
119,06/8/21 20:09:24,37.260,44.496,338.3
120,06/8/21 20:10:24,33.660,38.484,332.7
121,06/8/21 20:11:24,31.248,37.260,327.1
122,06/8/21 20:12:24,30.060,34.848,334.1
123,06/8/21 20:13:24,32.472,38.484,335.5
124,06/8/21 20:14:24,31.248,37.260,327.1
125,06/8/21 20:15:24,27.648,33.660,328.5
126,06/8/21 20:16:24,31.248,34.848,329.9
127,06/8/21 20:17:24,27.648,31.248,332.7
128,06/8/21 20:18:24,30.060,33.660,328.5
129,06/8/21 20:19:24,26.460,30.060,329.9
130,06/8/21 20:20:24,34.848,43.272,331.3
131,06/8/21 20:21:24,37.260,43.272,322.9
132,06/8/21 20:22:24,36.072,40.860,324.3
133,06/8/21 20:23:24,31.248,34.848,329.9
134,06/8/21 20:24:24,31.248,38.484,328.5
135,06/8/21 20:25:24,36.072,43.272,332.7
136,06/8/21 20:26:24,32.472,40.860,341.2
137,06/8/21 20:27:24,34.848,39.672,336.9
138,06/8/21 20:28:24,36.072,39.672,332.7
139,06/8/21 20:29:24,37.260,48.096,324.3
140,06/8/21 20:30:24,37.260,42.084,325.7
141,06/8/21 20:31:24,40.860,48.096,328.5
142,06/8/21 20:32:24,42.084,45.684,328.5
143,06/8/21 20:33:24,44.496,52.884,327.1
144,06/8/21 20:34:24,40.860,55.296,321.5
145,06/8/21 20:35:24,38.484,46.872,334.1
146,06/8/21 20:36:24,37.260,43.272,329.9
147,06/8/21 20:37:24,37.260,46.872,331.3
148,06/8/21 20:38:24,37.260,45.684,336.9
149,06/8/21 20:39:24,37.260,42.084,338.3
150,06/8/21 20:40:24,33.660,39.672,342.6
151,06/8/21 20:41:24,42.084,49.284,342.6
152,06/8/21 20:42:24,42.084,48.096,341.2
153,06/8/21 20:43:24,42.084,48.096,352.4
