T�tulo de trazado: E2,,,,
N.�,Fecha Tiempo, GMT-03:00,Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr),Velocidad de R�fagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr),Direcci�n del viento, � (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)
1,12/14/21 08:05:32 AM,2.412,3.600,282.2
2,12/14/21 08:06:32 AM,2.412,3.600,283.6
3,12/14/21 08:07:32 AM,3.600,4.824,294.8
4,12/14/21 08:08:32 AM,3.600,3.600,294.8
5,12/14/21 08:09:32 AM,1.188,2.412,294.8
6,12/14/21 08:10:32 AM,1.188,2.412,294.8
7,12/14/21 08:11:32 AM,3.600,4.824,294.8
8,12/14/21 08:12:32 AM,4.824,7.200,294.8
9,12/14/21 08:13:32 AM,3.600,6.012,294.8
10,12/14/21 08:14:32 AM,6.012,7.200,294.8
11,12/14/21 08:15:32 AM,6.012,7.200,294.8
12,12/14/21 08:16:32 AM,6.012,8.424,294.8
13,12/14/21 08:17:32 AM,8.424,9.612,297.6
14,12/14/21 08:18:32 AM,8.424,9.612,310.3
15,12/14/21 08:19:32 AM,7.200,8.424,320.1
16,12/14/21 08:20:32 AM,7.200,9.612,320.1
17,12/14/21 08:21:32 AM,7.200,8.424,320.1
18,12/14/21 08:22:32 AM,7.200,8.424,320.1
19,12/14/21 08:23:32 AM,7.200,9.612,321.5
20,12/14/21 08:24:32 AM,8.424,9.612,321.5
21,12/14/21 08:25:32 AM,8.424,9.612,321.5
22,12/14/21 08:26:32 AM,7.200,9.612,321.5
23,12/14/21 08:27:32 AM,8.424,12.024,324.3
24,12/14/21 08:28:32 AM,4.824,6.012,325.7
25,12/14/21 08:29:32 AM,6.012,8.424,325.7
26,12/14/21 08:30:32 AM,4.824,6.012,325.7
27,12/14/21 08:31:32 AM,4.824,7.200,327.1
28,12/14/21 08:32:32 AM,6.012,7.200,327.1
29,12/14/21 08:33:32 AM,4.824,7.200,325.7
30,12/14/21 08:34:32 AM,1.188,2.412,325.7
31,12/14/21 08:35:32 AM,0.000,1.188,325.7
32,12/14/21 08:36:32 AM,4.824,7.200,325.7
33,12/14/21 08:37:32 AM,4.824,6.012,325.7
34,12/14/21 08:38:32 AM,4.824,6.012,325.7
35,12/14/21 08:39:32 AM,6.012,8.424,325.7
36,12/14/21 08:40:32 AM,7.200,9.612,325.7
37,12/14/21 08:41:32 AM,8.424,10.836,325.7
38,12/14/21 08:42:32 AM,6.012,9.612,325.7
39,12/14/21 08:43:32 AM,4.824,7.200,324.3
40,12/14/21 08:44:32 AM,6.012,7.200,325.7
41,12/14/21 08:45:32 AM,6.012,7.200,325.7
42,12/14/21 08:46:32 AM,4.824,6.012,324.3
43,12/14/21 08:47:32 AM,6.012,8.424,325.7
44,12/14/21 08:48:32 AM,7.200,9.612,324.3
45,12/14/21 08:49:32 AM,6.012,8.424,325.7
46,12/14/21 08:50:32 AM,6.012,8.424,325.7
47,12/14/21 08:51:32 AM,6.012,7.200,325.7
48,12/14/21 08:52:32 AM,6.012,8.424,327.1
49,12/14/21 08:53:32 AM,8.424,10.836,325.7
50,12/14/21 08:54:32 AM,6.012,9.612,325.7
51,12/14/21 08:55:32 AM,4.824,6.012,325.7
52,12/14/21 08:56:32 AM,7.200,8.424,325.7
53,12/14/21 08:57:32 AM,7.200,9.612,325.7
54,12/14/21 08:58:32 AM,4.824,6.012,325.7
55,12/14/21 08:59:32 AM,3.600,4.824,325.7
56,12/14/21 09:00:32 AM,7.200,8.424,325.7
57,12/14/21 09:01:32 AM,7.200,10.836,325.7
58,12/14/21 09:02:32 AM,8.424,13.212,325.7
59,12/14/21 09:03:32 AM,4.824,7.200,327.1
60,12/14/21 09:04:32 AM,4.824,7.200,327.1
61,12/14/21 09:05:32 AM,7.200,12.024,325.7
62,12/14/21 09:06:32 AM,6.012,9.612,324.3
63,12/14/21 09:07:32 AM,3.600,4.824,327.1
64,12/14/21 09:08:32 AM,6.012,12.024,325.7
65,12/14/21 09:09:32 AM,10.836,13.212,329.9
66,12/14/21 09:10:32 AM,9.612,10.836,328.5
67,12/14/21 09:11:32 AM,8.424,12.024,328.5
68,12/14/21 09:12:32 AM,6.012,8.424,329.9
69,12/14/21 09:13:32 AM,4.824,8.424,329.9
70,12/14/21 09:14:32 AM,3.600,8.424,331.3
71,12/14/21 09:15:32 AM,7.200,12.024,329.9
72,12/14/21 09:16:32 AM,8.424,12.024,329.9
73,12/14/21 09:17:32 AM,8.424,9.612,329.9
74,12/14/21 09:18:32 AM,6.012,8.424,329.9
75,12/14/21 09:19:32 AM,6.012,7.200,329.9
76,12/14/21 09:20:32 AM,8.424,13.212,329.9
77,12/14/21 09:21:32 AM,8.424,12.024,327.1
78,12/14/21 09:22:32 AM,4.824,6.012,329.9
79,12/14/21 09:23:32 AM,3.600,6.012,331.3
80,12/14/21 09:24:32 AM,1.188,2.412,329.9
81,12/14/21 09:25:32 AM,0.000,1.188,329.9
