"Título de trazado: E2"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Dirección del viento, ø (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)"
1,03/29/22 10:36:44 AM,6.012,9.612,223.2
2,03/29/22 10:41:44 AM,6.012,9.612,265.3
3,03/29/22 10:46:44 AM,4.824,9.612,181.1
4,03/29/22 10:51:44 AM,7.200,12.024,178.3
5,03/29/22 10:56:44 AM,6.012,13.212,185.3
6,03/29/22 11:01:44 AM,8.424,13.212,162.9
7,03/29/22 11:06:44 AM,4.824,10.836,161.5
8,03/29/22 11:11:44 AM,6.012,12.024,165.7
9,03/29/22 11:16:44 AM,7.200,13.212,169.9
10,03/29/22 11:21:44 AM,9.612,18.036,155.8
11,03/29/22 11:26:44 AM,9.612,16.848,158.6
12,03/29/22 11:31:44 AM,7.200,13.212,158.6
13,03/29/22 11:36:44 AM,10.836,18.036,148.8
14,03/29/22 11:41:44 AM,10.836,27.648,174.1
15,03/29/22 11:46:44 AM,8.424,14.436,155.8
16,03/29/22 11:51:44 AM,8.424,15.624,154.4
17,03/29/22 11:56:44 AM,9.612,20.448,161.5
18,03/29/22 12:01:44 PM,4.824,14.436,150.2
19,03/29/22 12:06:44 PM,8.424,13.212,154.4
20,03/29/22 12:11:44 PM,8.424,15.624,153.0
21,03/29/22 12:16:44 PM,13.212,20.448,147.4
22,03/29/22 12:21:44 PM,14.436,24.048,148.8
23,03/29/22 12:26:44 PM,14.436,24.048,154.4
24,03/29/22 12:31:44 PM,12.024,19.224,161.5
25,03/29/22 12:36:44 PM,14.436,21.636,162.9
26,03/29/22 12:41:44 PM,7.200,20.448,33.7
27,03/29/22 12:46:44 PM,12.024,21.636,158.6
28,03/29/22 12:51:44 PM,14.436,26.460,160.0
29,03/29/22 12:56:44 PM,12.024,19.224,151.6
30,03/29/22 01:01:44 PM,10.836,21.636,157.2
31,03/29/22 01:06:44 PM,9.612,22.860,162.9
32,03/29/22 01:11:44 PM,15.624,25.236,160.0
33,03/29/22 01:16:44 PM,15.624,26.460,147.4
34,03/29/22 01:21:44 PM,13.212,22.860,144.6
35,03/29/22 01:26:44 PM,13.212,22.860,154.4
36,03/29/22 01:31:44 PM,15.624,26.460,148.8
37,03/29/22 01:36:44 PM,15.624,24.048,148.8
38,03/29/22 01:41:44 PM,14.436,31.248,150.2
39,03/29/22 01:46:44 PM,10.836,24.048,165.7
40,03/29/22 01:51:44 PM,8.424,14.436,167.1
41,03/29/22 01:56:44 PM,9.612,14.436,167.1
42,03/29/22 02:01:44 PM,15.624,31.248,172.7
43,03/29/22 02:06:44 PM,16.848,26.460,160.0
44,03/29/22 02:11:44 PM,10.836,25.236,172.7
45,03/29/22 02:16:44 PM,19.224,26.460,174.1
46,03/29/22 02:21:44 PM,13.212,24.048,165.7
47,03/29/22 02:26:44 PM,13.212,30.060,171.3
48,03/29/22 02:31:44 PM,15.624,27.648,169.9
49,03/29/22 02:36:44 PM,21.636,33.660,175.5
50,03/29/22 02:41:44 PM,19.224,28.872,179.7
51,03/29/22 02:46:44 PM,8.424,15.624,157.2
52,03/29/22 02:51:44 PM,4.824,15.624,158.6
53,03/29/22 02:56:44 PM,13.212,19.224,157.2
54,03/29/22 03:01:44 PM,19.224,37.260,160.0
55,03/29/22 03:06:44 PM,9.612,22.860,161.5
56,03/29/22 03:11:44 PM,12.024,32.472,171.3
57,03/29/22 03:16:44 PM,38.484,54.108,151.6
58,03/29/22 03:21:44 PM,38.484,49.284,153.0
59,03/29/22 03:26:44 PM,38.484,52.884,153.0
60,03/29/22 03:31:44 PM,34.848,44.496,153.0
61,03/29/22 03:36:44 PM,34.848,46.872,153.0
62,03/29/22 03:41:44 PM,38.484,50.508,153.0
63,03/29/22 03:46:44 PM,36.072,51.696,153.0
64,03/29/22 03:51:44 PM,38.484,51.696,153.0
65,03/29/22 03:56:44 PM,38.484,48.096,153.0
66,03/29/22 04:01:44 PM,38.484,50.508,153.0
67,03/29/22 04:06:44 PM,36.072,51.696,154.4
68,03/29/22 04:11:44 PM,37.260,46.872,153.0
69,03/29/22 04:16:44 PM,42.084,49.284,153.0
70,03/29/22 04:21:44 PM,36.072,49.284,153.0
71,03/29/22 04:26:44 PM,40.860,54.108,154.4
72,03/29/22 04:31:44 PM,42.084,52.884,153.0
73,03/29/22 04:36:44 PM,39.672,49.284,153.0
74,03/29/22 04:41:44 PM,38.484,45.684,154.4
75,03/29/22 04:46:44 PM,40.860,50.508,154.4
76,03/29/22 04:51:44 PM,43.272,52.884,153.0
77,03/29/22 04:56:44 PM,42.084,55.296,153.0
78,03/29/22 05:01:44 PM,45.684,52.884,154.4
79,03/29/22 05:06:44 PM,37.260,54.108,154.4
80,03/29/22 05:11:44 PM,40.860,52.884,154.4
81,03/29/22 05:16:44 PM,37.260,49.284,154.4
82,03/29/22 05:21:44 PM,39.672,52.884,154.4
83,03/29/22 05:26:44 PM,37.260,50.508,154.4
84,03/29/22 05:31:44 PM,39.672,54.108,155.8
85,03/29/22 05:36:44 PM,42.084,54.108,154.4
86,03/29/22 05:41:44 PM,37.260,55.296,154.4
87,03/29/22 05:46:44 PM,40.860,52.884,154.4
88,03/29/22 05:51:44 PM,38.484,55.296,154.4
89,03/29/22 05:56:44 PM,33.660,49.284,154.4
90,03/29/22 06:01:44 PM,40.860,55.296,153.0
91,03/29/22 06:06:44 PM,40.860,52.884,154.4
92,03/29/22 06:11:44 PM,33.660,48.096,154.4
93,03/29/22 06:16:44 PM,39.672,57.708,154.4
94,03/29/22 06:21:44 PM,38.484,54.108,154.4
95,03/29/22 06:26:44 PM,36.072,50.508,154.4
96,03/29/22 06:31:44 PM,38.484,52.884,154.4
97,03/29/22 06:36:44 PM,40.860,50.508,154.4
98,03/29/22 06:41:44 PM,34.848,42.084,155.8
99,03/29/22 06:46:44 PM,38.484,52.884,154.4
100,03/29/22 06:51:44 PM,34.848,45.684,155.8
101,03/29/22 06:56:44 PM,40.860,52.884,154.4
102,03/29/22 07:01:44 PM,40.860,52.884,154.4
103,03/29/22 07:06:44 PM,30.060,45.684,154.4
104,03/29/22 07:11:44 PM,25.236,36.072,155.8
105,03/29/22 07:16:44 PM,28.872,48.096,155.8
106,03/29/22 07:21:44 PM,38.484,61.308,154.4
107,03/29/22 07:26:44 PM,32.472,42.084,157.2
108,03/29/22 07:31:44 PM,30.060,50.508,157.2
109,03/29/22 07:36:44 PM,28.872,45.684,154.4
110,03/29/22 07:41:44 PM,22.860,42.084,157.2
111,03/29/22 07:46:44 PM,25.236,52.884,161.5
112,03/29/22 07:51:44 PM,18.036,28.872,155.8
113,03/29/22 07:56:44 PM,20.448,31.248,160.0
114,03/29/22 08:01:44 PM,22.860,30.060,155.8
115,03/29/22 08:06:44 PM,20.448,28.872,157.2
116,03/29/22 08:11:44 PM,19.224,24.048,155.8
