"Título de trazado: E2"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Dirección del viento, ø (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)"
1,03/17/22 04:48:48 PM,30.060,43.272,158.6
2,03/17/22 04:53:48 PM,31.248,49.284,160.0
3,03/17/22 04:58:48 PM,32.472,46.872,165.7
4,03/17/22 05:03:48 PM,32.472,48.096,162.9
5,03/17/22 05:08:48 PM,15.624,24.048,162.9
6,03/17/22 05:13:48 PM,30.060,48.096,164.3
7,03/17/22 05:18:48 PM,39.672,58.896,162.9
8,03/17/22 05:23:48 PM,36.072,50.508,161.5
9,03/17/22 05:28:48 PM,39.672,51.696,160.0
10,03/17/22 05:33:48 PM,38.484,52.884,160.0
11,03/17/22 05:38:48 PM,40.860,54.108,161.5
12,03/17/22 05:43:48 PM,39.672,49.284,160.0
13,03/17/22 05:48:48 PM,37.260,45.684,162.9
14,03/17/22 05:53:48 PM,30.060,37.260,162.9
15,03/17/22 05:58:48 PM,31.248,39.672,164.3
16,03/17/22 06:03:48 PM,34.848,49.284,164.3
17,03/17/22 06:08:48 PM,36.072,52.884,164.3
18,03/17/22 06:13:48 PM,24.048,33.660,162.9
19,03/17/22 06:18:48 PM,26.460,38.484,162.9
20,03/17/22 06:23:48 PM,22.860,37.260,164.3
21,03/17/22 06:28:48 PM,22.860,38.484,165.7
22,03/17/22 06:33:48 PM,24.048,38.484,165.7
23,03/17/22 06:38:48 PM,27.648,38.484,164.3
24,03/17/22 06:43:48 PM,27.648,39.672,164.3
25,03/17/22 06:48:48 PM,25.236,31.248,164.3
26,03/17/22 06:53:48 PM,25.236,36.072,164.3
27,03/17/22 06:58:48 PM,24.048,30.060,161.5
28,03/17/22 07:03:48 PM,22.860,39.672,157.2
29,03/17/22 07:08:48 PM,30.060,43.272,155.8
30,03/17/22 07:13:48 PM,27.648,34.848,154.4
31,03/17/22 07:18:48 PM,27.648,44.496,157.2
32,03/17/22 07:23:48 PM,31.248,39.672,160.0
33,03/17/22 07:28:48 PM,25.236,36.072,158.6
34,03/17/22 07:33:48 PM,24.048,34.848,160.0
35,03/17/22 07:38:48 PM,21.636,27.648,158.6
36,03/17/22 07:43:48 PM,12.024,21.636,155.8
37,03/17/22 07:48:48 PM,19.224,39.672,155.8
38,03/17/22 07:53:48 PM,33.660,44.496,155.8
39,03/17/22 07:58:48 PM,33.660,43.272,155.8
40,03/17/22 08:03:48 PM,31.248,38.484,155.8
41,03/17/22 08:08:48 PM,30.060,34.848,155.8
42,03/17/22 08:13:48 PM,30.060,39.672,157.2
43,03/17/22 08:18:48 PM,32.472,42.084,155.8
44,03/17/22 08:23:48 PM,28.872,38.484,155.8
45,03/17/22 08:28:48 PM,28.872,39.672,158.6
46,03/17/22 08:33:48 PM,38.484,52.884,155.8
47,03/17/22 08:38:48 PM,42.084,50.508,157.2
48,03/17/22 08:43:48 PM,28.872,36.072,157.2
49,03/17/22 08:48:48 PM,24.048,34.848,158.6
50,03/17/22 08:53:48 PM,22.860,32.472,158.6
51,03/17/22 08:58:48 PM,20.448,27.648,161.5
52,03/17/22 09:03:48 PM,25.236,36.072,162.9
53,03/17/22 09:08:48 PM,20.448,27.648,162.9
54,03/17/22 09:13:48 PM,16.848,24.048,161.5
55,03/17/22 09:18:48 PM,14.436,18.036,165.7
56,03/17/22 09:23:48 PM,15.624,19.224,161.5
57,03/17/22 09:28:48 PM,14.436,18.036,162.9
58,03/17/22 09:33:48 PM,13.212,16.848,162.9
59,03/17/22 09:38:48 PM,13.212,16.848,162.9
60,03/17/22 09:43:48 PM,15.624,21.636,164.3
61,03/17/22 09:48:48 PM,15.624,20.448,167.1
62,03/17/22 09:53:48 PM,13.212,19.224,165.7
63,03/17/22 09:58:48 PM,13.212,19.224,161.5
64,03/17/22 10:03:48 PM,14.436,16.848,165.7
65,03/17/22 10:08:48 PM,14.436,16.848,160.0
66,03/17/22 10:13:48 PM,13.212,16.848,158.6
67,03/17/22 10:18:48 PM,12.024,14.436,162.9
68,03/17/22 10:23:48 PM,13.212,15.624,161.5
69,03/17/22 10:28:48 PM,14.436,16.848,161.5
70,03/17/22 10:33:48 PM,14.436,16.848,158.6
71,03/17/22 10:38:48 PM,13.212,16.848,160.0
72,03/17/22 10:43:48 PM,14.436,19.224,162.9
73,03/17/22 10:48:48 PM,14.436,16.848,161.5
74,03/17/22 10:53:48 PM,12.024,16.848,162.9
75,03/17/22 10:58:48 PM,10.836,13.212,161.5
76,03/17/22 11:03:48 PM,10.836,13.212,160.0
77,03/17/22 11:08:48 PM,8.424,10.836,160.0
78,03/17/22 11:13:48 PM,9.612,12.024,158.6
79,03/17/22 11:18:48 PM,8.424,14.436,158.6
80,03/17/22 11:23:48 PM,2.412,9.612,155.8
81,03/17/22 11:28:48 PM,2.412,6.012,154.4
82,03/17/22 11:33:48 PM,2.412,6.012,155.8
83,03/17/22 11:38:48 PM,0.000,2.412,165.7
84,03/17/22 11:43:48 PM,0.000,1.188,154.4
85,03/17/22 11:48:48 PM,0.000,0.000,154.4
86,03/17/22 11:53:48 PM,1.188,4.824,155.8
87,03/17/22 11:58:48 PM,1.188,4.824,155.8
88,03/18/22 12:03:48 AM,6.012,9.612,153.0
89,03/18/22 12:08:48 AM,3.600,9.612,112.3
90,03/18/22 12:13:48 AM,6.012,13.212,258.3
91,03/18/22 12:18:48 AM,10.836,14.436,235.9
92,03/18/22 12:23:48 AM,10.836,15.624,220.4
93,03/18/22 12:28:48 AM,9.612,18.036,235.9
94,03/18/22 12:33:48 AM,4.824,8.424,252.7
95,03/18/22 12:38:48 AM,3.600,7.200,247.1
96,03/18/22 12:43:48 AM,3.600,7.200,234.5
97,03/18/22 12:48:48 AM,2.412,4.824,263.9
98,03/18/22 12:53:48 AM,6.012,8.424,216.2
99,03/18/22 12:58:48 AM,4.824,6.012,226.0
100,03/18/22 01:03:48 AM,4.824,7.200,207.8
101,03/18/22 01:08:48 AM,7.200,8.424,240.1
102,03/18/22 01:13:48 AM,7.200,8.424,219.0
103,03/18/22 01:18:48 AM,8.424,10.836,169.9
104,03/18/22 01:23:48 AM,6.012,9.612,160.0
105,03/18/22 01:28:48 AM,9.612,12.024,162.9
106,03/18/22 01:33:48 AM,8.424,9.612,162.9
107,03/18/22 01:38:48 AM,1.188,6.012,172.7
108,03/18/22 01:43:48 AM,3.600,6.012,168.5
109,03/18/22 01:48:48 AM,2.412,6.012,161.5
110,03/18/22 01:53:48 AM,1.188,6.012,160.0
111,03/18/22 01:58:48 AM,3.600,7.200,158.6
112,03/18/22 02:03:48 AM,2.412,6.012,144.6
113,03/18/22 02:08:48 AM,2.412,4.824,146.0
114,03/18/22 02:13:48 AM,1.188,7.200,154.4
115,03/18/22 02:18:48 AM,6.012,9.612,169.9
116,03/18/22 02:23:48 AM,4.824,8.424,167.1
117,03/18/22 02:28:48 AM,3.600,7.200,172.7
118,03/18/22 02:33:48 AM,6.012,8.424,162.9
119,03/18/22 02:38:48 AM,8.424,10.836,158.6
120,03/18/22 02:43:48 AM,8.424,10.836,161.5
